id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair,mSBERT_score,LaBSE_score
330,আকাশপাতাল এক করা,অসম্ভবকে সম্ভব করা,"Move heaven and earth', 'Achieve the impossible",,HIGH,False,bn-en,,
331,আকাশপাতাল খোঁজা,সর্বত্র তন্নতন্ন করে খোঁজা,"search high and low', 'leave no stone unturned",,HIGH,False,bn-en,,
332,আকাশপাতাল চিন্তা,উদ্দেশ্যহীন নানাপ্রকার দুশ্চিন্তা/দুর্ভাবনা; যে চিন্তা বা ভাবনার অবধি নেই,"Worried sick', ""Racking one's brains endlessly",,HIGH,False,bn-en,,
333,আকাশপাতাল তফাৎ,প্রচুর/বিপুল/বিশাল/বিস্তর ব্যবধান,"worlds apart', 'night and day', 'chalk and cheese",,HIGH,False,bn-en,,
334,আকাশপাতাল ভেবে না পাওয়া,ভাবতে গিয়ে দিশেহারা/বিভ্রান্ত/বিমুঢ়/বিহ্বল হওয়া,"At a loss for words', 'Baffled beyond belief', 'Mind-boggled",,HIGH,False,bn-en,,
335,আকাশপ্রদীপ,কার্তিকমাসের প্রতিসন্ধ্যায় পূর্বপুরুষদের উদ্দেশে বাঁশের ডগায় যে প্রদীপ জ্বালা হয়,beacon light,A lamp lit and placed on the top of a tall bamboo in the evening during the month of Kartik,MEDIUM,False,bn-en,0.5329699516296387,0.6814194917678833
336,আকাশবন্যা,ভারি বৃষ্টিপাতে প্লাবন,"Raining cats and dogs', 'Deluge",,HIGH,False,bn-en,,
337,আকাশবাণী,অশরীরী বাক্য; দৈববাণী,"Voice from above', 'Heavenly decree",,HIGH,False,bn-en,,
338,আকাশবিহারী,কল্পনাপ্রবণ; কল্পনার জগতে বাস করে এমন,"Head in the clouds', 'Daydreamer",,HIGH,False,bn-en,,
339,আকাশবুড়ির সূতা,বুড়ি কার্পাসের ফল ফেটে গিয়ে শূন্যে বায়ুভরে ভাসতে ভাসতে বিভিন্ন অংশ মিলিত হলে সূক্ষ্ম মাকড়সার জালের মত দেখতে হয়,"fine as a spider's web"", 'delicate as gossamer",,HIGH,False,bn-en,,
340,আকাশ ভাঙ্গা,প্রবল বৃষ্টিপাত,"raining cats and dogs', 'pouring rain",,HIGH,False,bn-en,,
341,মাথায় আকাশ ভেঙ্গে পড়া,আকস্মিক বিপদে ভাবনাচিন্তায় দিশাহারা হওয়া,"The sky is falling', 'The world is ending",,HIGH,False,bn-en,,
342,আকাশশয়ন,উন্মুক্তস্থানে শোয়া,"Sleeping under the stars', 'Sleeping rough",,HIGH,False,bn-en,,
343,আকাশ হল সীমা,যার কোন সীমা নেই; যেখানে সবকিছুই সম্ভব,The sky's the limit,,HIGH,False,bn-en,0.8320958614349365,0.9217337369918823
344,আকাশ হাতে পাওয়া,"দুরাশা পূর্ণ হওয়া, বিনাপ্রচেষ্টায় দুর্লভবস্তু হাতে পাওয়া বা পাওয়ার আশ্বাস পাওয়া","pie in the sky', 'have the moon on a stick",,HIGH,False,bn-en,,
345,আকাশে ওড়া,আনন্দে আত্মহারা হওয়া; কল্পনার জগতে বাস করা,"Head in the clouds', 'On cloud nine', 'Flying high",,HIGH,False,bn-en,,
346,আকাশে তোলা,প্রাপ্যের অতিরিক্ত প্রশংসা করা,"Praise to the skies', 'Put on a pedestal",,HIGH,False,bn-en,,
347,আকাশে থুথু ফেলা,নিজের ক্ষতি করা,"shoot oneself in the foot', ""cut off one's nose to spite one's face",,HIGH,False,bn-en,,
348,আকাশে ফাঁদ পেতে চাঁদ ধরা,অবাস্তব/অলীক/অসার কল্পনা/চিন্তা,"Pie in the sky', 'When pigs fly', 'Building castles in the air",,HIGH,False,bn-en,,
349,আকাশের চাঁদ,অসম্ভব বা দুর্লভ বস্তু; বহু কাঙ্ক্ষিত বস্তু,"Pie in the sky', 'Asking for the moon', 'The moon on a stick",,HIGH,False,bn-en,,
350,আকাশের চাঁদ পাড়া,অসম্ভবকে সম্ভব করা,"To move mountains', 'When pigs fly', 'To lasso the moon",,HIGH,False,bn-en,,
351,আকাশের চাঁদ হাতে পাওয়া,আশাতীত বা দুর্লভ বস্তুপ্রাপ্তি,"to win the lottery', 'to strike it rich",,HIGH,False,bn-en,,
352,আকাশের তারা গোনা,অকাজে অলসভাবে সময় কাটানো,"Twiddling one's thumbs"", 'Killing time', 'Watching paint dry",,HIGH,False,bn-en,,
353,আকুলি-বিকুলি করা,অতিশয় ব্যাকুল হওয়া; উৎকণ্ঠিত হওয়া; ব্যস্তসমস্ত হয়ে পড়া,"on pins and needles', 'in a tizzy', 'all of a flutter",,HIGH,False,bn-en,,
354,আক্কেলগুড়ুম,আকস্মিক ভয়ে বুদ্ধিলোপ; হতবুদ্ধি; হতভম্ব অবস্থা,"scared out of one's wits"", 'frozen in fear', 'brain freeze from fright",,HIGH,False,bn-en,,
355,আক্কেলদাঁত না গজানো,বুদ্ধিবিবেচনা/কাণ্ডজ্ঞান না হওয়া; অপরিণত বুদ্ধির পরিচয় দেওয়া,"Wet behind the ears', ""Hasn't got his wisdom teeth yet",,HIGH,False,bn-en,,
356,আক্ল্মন্দ,আক্কেলযুক্ত; বিবেচক; বুদ্ধিশুদ্ধি আছে এমন,"sharp-witted', 'level-headed",,HIGH,False,bn-en,,
357,আক্কেলসেলামী,গুনাগার; নির্বুদ্ধিতার দণ্ড,"A fool and his money are soon parted', 'Throw good money after bad",,HIGH,False,bn-en,,
358,আক্কেল হওয়া,বিপদে পরে শিক্ষা নেওয়া; শাস্তি পাওয়া,"Learn the hard way', 'Wisdom comes too late', 'A burnt child dreads the fire",,HIGH,False,bn-en,,
359,আখের গুছানো,ভবিষ্যৎ গুছানো; স্বার্থ হাসিল করা,"Feathering one's nest"", 'Planning ahead",,HIGH,False,bn-en,,
360,আখের বুঝে চলা,পরিণতির কথা চিন্তা করে চলা; ভবিষ্যতের কথা ভেবে কাজ করা,"Look before you leap', 'Think before you act",,HIGH,False,bn-en,,
361,আখেরি জমানা,"অন্তিমকাল, শেষ যুগ, কলিযুগ","End times', 'Doomsday', 'The last days",,HIGH,False,bn-en,,
362,আখেরে লাভ,অপেক্ষা করলে লাভ আছে; শেষপর্যন্ত লাভ হয়,"Good things come to those who wait', 'Patience pays off', ""All's well that ends well",,HIGH,False,bn-en,,
363,আগড়মবাগড়ম কথা,"অপ্রয়োজনীয়, অপ্রাসঙ্গিক, অর্থহীন, অসংলগ্ন আজেবাজে কথাবার্তা, প্রলাপ","talking nonsense', 'gibberish', 'rambling incoherently",,HIGH,False,bn-en,,
364,আগড়বাগড় খেয়ে পেট ভরানো,অসার খাদ্য খেয়ে উদরপূর্তি করা,"Living on scraps', 'Making do with meager fare",,HIGH,False,bn-en,,
365,আগাগোড়া,শুরু থেকে শেষপর্যন্ত,"From start to finish', 'From beginning to end', 'Cover to cover",,HIGH,False,bn-en,,
366,আগাপাস্তালা,আপাদমস্তক; উপর থেকে নীচ পর্যন্ত; সর্বাঙ্গ,"from head to toe', 'all over', 'top to bottom",,HIGH,False,bn-en,,
367,আগামাথা,আদি বা অন্ত; শুরু বা শেষ,"Can't make heads or tails of it"", 'Clueless from start to finish",,HIGH,False,bn-en,,
368,আগুন দেওয়া,উত্তেজিত করা; ঝগড়া সৃষ্টি করা,"To add fuel to the fire', 'To fan the flames', 'To stir up trouble",,HIGH,False,bn-en,,
369,আগুন নিয়ে খেলা করা,অনিষ্টকর জিনিসে হাত দেওয়া; বিপজ্জনক বিষয় নিয়ে ছিনিমিনি খেলা; বিপদের ঝুঁকি নিয়ে কাজ করা,Playing with fire,,HIGH,False,bn-en,0.8395845890045166,0.8538280725479126
370,আগুন পোহানো,আগুনের কাছে বসে হাত পা গরম করা,"Every rose has its thorn', 'No pain, no gain",,HIGH,False,bn-en,,
371,আগুন লাগা,অভাব উপদ্রব বিপত্তি বিশৃঙ্খলা প্রভৃতির আবির্ভাব হওয়া,"All hell breaking loose', 'The roof is on fire",,HIGH,False,bn-en,,
372,আগুন-লাগা সংসার,নষ্ট হচ্ছে এমন সংসার,"a house on fire (metaphor for crisis)', 'going up in flames",,HIGH,False,bn-en,,
373,আগুন লাগানো,উত্তেজিত করা; ঝগড়া সৃষ্টি করা; রাগিয়ে দেওয়া,"Add fuel to the fire', 'Fan the flames', 'Stir up trouble",,HIGH,False,bn-en,,
374,আগুন হওয়া,অতি ক্রুদ্ধ হওয়া; প্রচণ্ড রেগে যাওয়া,"Fly into a rage', 'See red', 'Boil with anger",,HIGH,False,bn-en,,
375,আগুনে ঘি ঢালা,উত্তেজনা/রাগ বাড়ানো,"Add fuel to the fire', 'Pour oil on troubled waters (opposite, but related in intensification)",,HIGH,False,bn-en,,
376,আগুনে জল ঢালা,রাগ কমানো/প্রশমিত হওয়া,"Pour water on the flames', 'Douse the fire of rage",,HIGH,False,bn-en,,
377,আগুনের কাছে ঘি,"এমন দুইবস্তুর কাছাকাছি আসা, যাতে দ্বিতীয়ের ক্ষতি হয়","playing with fire', 'courting disaster",,HIGH,False,bn-en,,
378,আগুপাছু করা,ইতঃস্তত করা,"Beat around the bush', 'Dilly-dally",,HIGH,False,bn-en,,
379,আগেআগে,সামনে,"at the forefront', 'leading the way",,HIGH,False,bn-en,,
380,আগেভাগে,আগের থেকে; পূর্বেই; সবার আগে; সর্বাগ্রে,"in advance', 'ahead of time', 'first off",,HIGH,False,bn-en,,
381,আঙুর ফল টক,অলভ্য জিনিস মন্দ,Sour grapes,,HIGH,False,bn-en,0.573983907699585,0.4953877627849579
382,আঙুল কামড়ানো,আফসোস করা,Bite one's nails (in regret),,HIGH,False,bn-en,0.4801868796348572,0.5221741199493408
383,আঙুল কামড়ানো,আফসোস করা,Gnash one's teeth,,HIGH,False,bn-en,0.49743425846099854,0.5784906148910522
384,আঙুল ঘুরিয়ে পাঁচিল দেওয়া,ক্ষুদ্রচেষ্টায় বিরাট কর্ম করার প্রচেষ্টা,"Biting off more than one can chew', 'Trying to empty the sea with a spoon",,HIGH,False,bn-en,,
385,আঙুল ফুলে কলাগাছ,হঠাৎ বড়লোক; হঠাৎ প্রচুর ধনসম্পত্তির মালিক,"Rags to riches', 'Strike it rich', 'From pauper to millionaire",,HIGH,False,bn-en,,
386,আঙুল মটকানো,অভিশাপ দেওয়া,"put a curse on', 'give the evil eye",,HIGH,False,bn-en,,
387,আচমকা সুন্দরী,আপাতঃ সুন্দরী না হলেও হঠাৎ দেখলে সুন্দরী মনে হয়; ক্ষণিক রূপের মোহসৃষ্টিকারিণী,"Beauty is only skin deep', 'Love at first sight",,HIGH,False,bn-en,,
388,আচাভুয়া-বোম্বাচাক,অত্যদ্ভূত বিষয়; অসম্ভব ব্যাপার,"when pigs fly', 'a tall tale",,HIGH,False,bn-en,,
389,আছোলা বাঁশ খাওয়া,কষ্টকর যন্ত্রণা ভোগ করা- অশালীন গালিবিশেষ,"bite the bullet (for enduring pain)', 'eat dirt (for humiliation and suffering)",,HIGH,False,bn-en,,
390,আছোলা বাঁশ দেওয়া,কারো সর্বনাশ করা,"To do someone in', 'To bring someone to ruin",,HIGH,False,bn-en,,
391,আছোলা বাঁশ নেওয়া,যেচে নিজের বিপদ ডেকে আনা; ইচ্ছা করে বিপজ্জনক পরিস্থিতিতে জড়িয়ে পড়া,"Playing with fire', 'Inviting trouble', 'Jumping out of the frying pan into the fire",,HIGH,False,bn-en,,
392,আজকাল,অধুনা; বর্তমানকাল,"these days', 'in modern times', 'lately",,HIGH,False,bn-en,,
393,আজকাল করা,অযথা দেরি করা; গড়িমসি করা; ইচ্ছা করে দেরি করা,"To drag one's feet"", 'To procrastinate', 'To dawdle",,HIGH,False,bn-en,,
394,আজকাল বাদে,আজ ও আগামীকাল- এই দু'দিন বাদে,"The day after tomorrow', 'In a couple of days",,HIGH,False,bn-en,,
395,আজকালের মধ্যে,অনতিবিলম্বে; দু'একদিনের মধ্যে,"soon', 'before long', 'any day now",,HIGH,False,bn-en,,
396,আজকের মত,আজকের উপযোগী,"for today', 'let it be for now', 'call it a day",,HIGH,False,bn-en,,
397,আজ খেতে কাল নেই,কোনরকমে দিন গুজরান করা,"Living from hand to mouth', 'Day-to-day survival",,HIGH,False,bn-en,,
398,আজ গেলে দুদিন হবে,অসহনীয় ভোগান্তির দিন যেন কাটতেই চায় না।,"Time stands still', 'The day drags on forever",,HIGH,False,bn-en,,
399,আজ নয় কাল,গড়মসি; দীর্ঘসূত্রতা; অযথা সময় নষ্ট,"procrastination', 'putting off till tomorrow', 'tomorrow is another day",,HIGH,False,bn-en,,
400,আজ বাদে কাল,কয়েকদিন পর; বেশি দেরী নেই; শীঘ্রই,"Any day now', 'In the near future', 'Shortly",,HIGH,False,bn-en,,
401,আজেবাজে,অকেজো; অবজ্ঞার যোগ্য; তুচ্ছ,"small potatoes', 'trifling matter', 'nonsense",,HIGH,False,bn-en,,
402,আঝালি,নিস্তেজ; নির্জীব,"On its last legs', 'Flickering flame', 'Burnt out",,HIGH,False,bn-en,,
403,আটকড়াই,সন্তান জন্মের অষ্টমদিনে আটরকম কলাইভাজা বিতরণের সংস্কার,grand finale,The final episode or performance on the last day of those Mangal poems presented in eight parts over eight days,MEDIUM,False,bn-en,0.3808571696281433,0.28872862458229065
404,আটকপালী কপালে,অভাগী বা হতভাগী,"born under a bad star', 'jinxed from birth",,HIGH,False,bn-en,,
405,আটকাঠ ঘাট,সবদিক; সব বিষয়,"Every nook and cranny', 'From all quarters', 'High and low",,HIGH,False,bn-en,,
406,আটকিয়া বাঁধা,পুরীমন্দিরে থেকে নিয়মিত একজনের উপযোগী প্রসাদ পাওয়ার জন্য অর্থদান; জগন্নাথের প্রসাদ,Perpetual endowment for religious offerings,,HIGH,False,bn-en,0.1883973926305771,0.013537842780351639
407,আট কুঠুরি নয় দরজা,শরীরের আটটি গ্রন্থি এবং নয়টি প্রবেশ ও বহির্দ্বার,Vital spot,An unspecified place on the body where an injury can lead to life-threatening consequences,MEDIUM,False,bn-en,0.31173598766326904,0.10006028413772583
408,আটকুড়ের ব্যাটা,"পুত্রহীনের সন্তান; অসম্ভব ব্যাপার, যা হয় না","When pigs fly', ""A snowball's chance in hell",,HIGH,False,bn-en,,
409,আট্কে বাঁধা,দৃঢ়ভাবে আটকে যাওয়া বা কঠিন পরিস্থিতিতে বাঁধা পড়া,"in a bind', 'tied up",,HIGH,False,bn-en,,
410,আটখানা হওয়া,আনন্দে অধীর হওয়া ফেটে পড়া,"bursting at the seams', 'fit to burst with excitement', 'over the moon",,HIGH,False,bn-en,,
411,আটঘাট বাঁধা,সম্ভাব্য সবরকম অবস্থার জন্য প্রস্তুত থাকা; সবদিক সামলে চলা বা সুরক্ষিত করা; সাবধান হওয়া,"Cover all bases', 'Tie up loose ends', 'Leave no stone unturned",,HIGH,False,bn-en,,
412,আটপৌরে কাপড়,সবসময়ে ঘরে পরার উপযোগী জামাকাপড়,"loungewear', 'house dress",,HIGH,False,bn-en,,
413,আটপৌরে ভাষা,কথ্যভাষা; চলতি সাধারণ বা সর্বদা ব্যবহারের ভাষা,"vernacular', 'common parlance', 'street talk",,HIGH,False,bn-en,,
414,আটা পেষাই করা,দুরমুশ করা; খুব পিটাই করা; বেদম প্রহার করা,"Beat the living daylights out of someone', 'Give someone a thrashing', 'Pummel someone senseless",,HIGH,False,bn-en,,
415,আটাশে ছেলে,আটমাসে ভূমিষ্ঠ ছেলে,"Premature baby', 'Eight-month-old infant",,HIGH,False,bn-en,,
416,আটাশের ছেলে,দুর্বল; নিস্তেজ; ভীরু,"sissy', 'milquetoast', 'chicken-hearted",,HIGH,False,bn-en,,
417,আটেকাটে,"কষ্টসহিষ্ণু, অত্যন্ত পরিশ্রমী, চৌকশ, সকলদিকে ভারবহনে সক্ষম, সকল বিষয়ে নিপুণ","Jack of all trades', 'Tough as nails', 'Workhorse",,HIGH,False,bn-en,,
418,আটুপাটু,আর্তভাব; কাতরতা; ব্যাকুলতা,"in a tizzy', 'all worked up', 'fretful",,HIGH,False,bn-en,,
419,আঠা,আগ্রহ; উৎসাহ,"stick-to-itiveness', 'gung-ho",,HIGH,False,bn-en,,
420,আঠারো আনা,অতি নিশ্চয়তা; যথেষ্ট সম্ভাবনা,"Almost certain', '99% sure', 'Odds are in favor",,HIGH,False,bn-en,,
421,আঠারো ঘা,নানাপ্রকার ঘা বা ব্যাধিতে আক্রান্ত,"Riddled with ailments', 'Full of woes and illnesses",,HIGH,False,bn-en,,
422,আঠারো মাসে বছর,অকর্মণ্যতা; আলস্য; কুঁড়েমি; দীর্ঘসূত্রতা; অহেতুক কালক্ষেপণের ফলে কাজে বিলম্ব,"a month of Sundays', ""taking one's sweet time"", ""dragging one's feet",,HIGH,False,bn-en,,
423,আড্ডা গাড়া,অস্থায়ী বাসা বাঁধা,"pitch a tent', 'set up camp",,HIGH,False,bn-en,,
424,আড়ংঘাটা,বিকল্প বা অস্থায়ী উপায়,"backdoor', 'loophole",,HIGH,False,bn-en,,
425,আড়ং ধোলাই,উত্তম-মধ্যম দেওয়া; সপাটে আছাড় মারা,"Beat the living daylights out of someone', 'Give a hiding",,HIGH,False,bn-en,,
426,আড়ংহাটা,গঞ্জ; বড়বাজার,"bustling bazaar', 'downtown market",,HIGH,False,bn-en,,
427,আড়কাঠি,খবরসংগ্রাহক; কুলিমজুর সরবরাহকারী,"middleman', 'go-between', 'fixer",,HIGH,False,bn-en,,
428,আড়কালা,এক কানে শুনতে পারে না এমন,"Deaf in one ear', 'Turn a deaf ear",,HIGH,False,bn-en,,
429,আড় নেই,মুখের লাগাম নেই; চোখের পর্দা নেই,"Without a filter', 'Brazen-faced",,HIGH,False,bn-en,,
430,আড়পাগলা,আধ-পাগলা; ক্ষেপাটে,"A bit off one's rocker"", 'Eccentric', 'A little loony",,HIGH,False,bn-en,,
431,আড়বগ্গা,একগুঁয়ে; একরোখা; গোঁয়ার,"stubborn as a mule', 'pig-headed",,HIGH,False,bn-en,,
432,আড়বুঝ,বিপরীত বুদ্ধি; বাঁকা বুদ্ধি; উল্টা বোঝে এমন,"Contrary to reason', 'Twisted logic', 'Taking it the wrong way",,HIGH,False,bn-en,,
433,আড় ভাঙা,শরীরের জড়তা কাটানো,"Shake off the cobwebs', 'Work out the kinks",,HIGH,False,bn-en,,
434,আড়মোড়া ভাঙা,ঘুম থেকে উঠে শরীরের আড়ষ্টভাব কাটান,"Work out the kinks', ""Stretch one's limbs",,HIGH,False,bn-en,,
435,আড় হওয়া,কাত হয়ে কষ্টেসৃষ্টে শোয়া,to be flat on one's back,,HIGH,False,bn-en,0.47492092847824097,0.5005407333374023
436,আড় হওয়া,কাত হয়ে কষ্টেসৃষ্টে শোয়া,to take to one's bed,,HIGH,False,bn-en,0.4170196056365967,0.43594086170196533
437,আড়া,বক্রস্বভাবের লোক,"Crooked character', 'Shifty person",,HIGH,False,bn-en,,
438,আড়াআড়ি,পরস্পর দ্বেষাদ্বেষি/রেশারেশি,"at daggers drawn', 'mutual suspicion', 'bad blood between them",,HIGH,False,bn-en,,
439,আড়াই অক্ষরে,অল্পকথায়; সংক্ষেপে,"in a nutshell', 'to make a long story short",,HIGH,False,bn-en,,
440,আড়াই দিনের বাদশাহী,অল্পদিনের জন্য বিলাসিতা,"Flash in the pan', 'Living like a king for a day",,HIGH,False,bn-en,,
441,আড়াই হাত তালগাছের,কোনো কাজের শেষ এবং সবচেয়ে কঠিন অংশ,"The last leg', 'The final hurdle', 'The home stretch",,HIGH,False,bn-en,,
442,আড়ালে আবডালে,লোকচক্ষু এড়িয়ে; লুকিয়ে চুরিয়ে,"Behind closed doors', 'On the sly', 'Under the radar",,HIGH,False,bn-en,,
443,আড়িপাতা,আড়াল থেকে লুকিয়ে অন্যের কথা শোনা,"Eavesdropping', 'Listening at the keyhole",,HIGH,False,bn-en,,
444,আড়েহাতে লওয়া,প্রতিশোধ নেওয়া; ভীষণ শত্রুতা করা,"Get even', 'Settle a score', 'Pay back in kind",,HIGH,False,bn-en,,
445,আড়েহাতে লাগা,উঠেপড়ে লাগা; উৎসাহের সঙ্গে; প্রাণপণে চেষ্টা করা,"go all out', 'throw oneself into something', 'dive in headfirst",,HIGH,False,bn-en,,
446,আণ্ডাবাচ্চা,"ছোটছোট শিশুসন্তান, ক্রোড়স্থ সন্তান","little ones', 'babe in arms', 'small fry",,HIGH,False,bn-en,,
447,আতান্তর,অসুবিধা; দুঃখকষ্ট; দুর্ভাবনা; বিপদ; সংকট,"in hot water', 'in a tight spot', 'between a rock and a hard place",,HIGH,False,bn-en,,
448,আতালিপাতালি,ব্যাকুল ও ব্যস্ত হয়ে এদিক-ওদিক চাইতে চাইতে,"search high and low', 'look everywhere frantically",,HIGH,False,bn-en,,
449,আতিপাতি,তন্নতন্ন করে,"search high and low', 'turn upside down', 'leave no stone unturned",,HIGH,False,bn-en,,
450,আতুপুতু করা,অতিরিক্ত যত্ন করা; আদরযত্ন বা সাবধানতার বাড়াবাড়ি করা; সন্তানপালনে যত্ন ও সতর্কতার বাড়াবাড়ি,"To mollycoddle', 'To spoil rotten', 'To wrap someone in cotton wool', 'Helicopter parenting",,HIGH,False,bn-en,,
451,আত্মঘোষ,যে নিজের ঢাক নিজেই পেটায়,Blow one's own trumpet,,HIGH,False,bn-en,0.30355918407440186,0.28987571597099304
452,আত্মঘোষ,যে নিজের ঢাক নিজেই পেটায়,Toot one's own horn,,HIGH,False,bn-en,0.3532026410102844,0.3264574110507965
453,আত্মনং সততং রক্ষেৎ,নিজেকে সর্বদা রক্ষা করবে,"Self-preservation is the first law of nature', 'Look after number one",,HIGH,False,bn-en,,
454,আত্মবৎ মন্যতে জগৎ,আপনার আয়নায় জগৎ দেখা,"To think the world revolves around oneself', ""To judge others by one's own standards",,HIGH,False,bn-en,,
455,আত্মবৎ সর্বভূতেষু,সকল প্রাণীকে আত্মসম জ্ঞান,"Put yourself in someone else's shoes"", 'The Golden Rule: Treat others as you would like to be treated",,HIGH,False,bn-en,,
456,আত্মরক্ষে ধর্ম,নিজের স্বার্থ সবার আগে,"Every man for himself', 'Look out for number one",,HIGH,False,bn-en,,
457,আত্মসর্বস্ব,স্বার্থপর; শুধু নিজেকে নিয়ে চিন্তা,"Self-centered', 'Looking out for number one",,HIGH,False,bn-en,,
458,আত্মাপুরুষ,পুরুষনামী দেহস্থ আত্মা প্রাণ/মনপাখি,"Inner self', 'Free spirit",,HIGH,False,bn-en,,
459,আত্মারাম খাঁচাছাড়া হওয়া,নিদারূণ ভয়ে মৃতপ্রায় হওয়া বা মারা যাওয়া,"Scared to death', 'Drop dead from fright",,HIGH,False,bn-en,,
460,আত্মারাম গুটিয়ে যাওয়া,অত্যন্ত ভয় পাওয়া; ভয়ে আড়ষ্ট বা পাংশু হওয়া,"To be scared stiff', 'To shrink in fear', 'To turn pale with fright",,HIGH,False,bn-en,,
461,আত্মার্থে পৃথিবী ত্যজেৎ,আত্মরক্ষার্থে পার্থিব সবকিছু পরিত্যাজ্য,"Self-preservation is the first law of nature', 'Abandon ship to save oneself",,HIGH,False,bn-en,,
462,আথালিপাথালি,ব্যাকুল ও ব্যস্ত হয়ে এদিক-ওদিক চাইতে চাইতে; চারদিকে; যেখানে-সেখানে সর্বত্র,"Here, there, and everywhere', 'High and low', 'Running around in circles",,HIGH,False,bn-en,,
463,আদব-কায়দা,ভদ্রব্যবহার; শিষ্টাচার; আচার-আচরণ,"Good manners', 'Social graces', 'Proper etiquette",,HIGH,False,bn-en,,
464,আদব-কায়দাদুরস্ত,ব্যবহারে বিনম্র; শিষ্টাচারী,"Well-mannered', 'The epitome of politeness",,HIGH,False,bn-en,,
465,আদবের খেলাপ,ভদ্রতাবিরুদ্ধ; শিষ্টাচারবহির্ভূত; শিষ্টাচার লঙ্ঘন,"faux pas', 'breach of etiquette', 'bad manners",,HIGH,False,bn-en,,
466,আদমের সময়,অতি প্রাচীনকালে; বহুকাল আগে,"Time immemorial', 'In the days of Adam', 'Since the beginning of time",,HIGH,False,bn-en,,
467,আদরে বাঁদর,প্রশ্রয় পেয়ে নষ্ট,"spare the rod and spoil the child', 'give an inch and take a mile",,HIGH,False,bn-en,,
468,আদা ওষুধের আধা,আদা অর্ধেক রোগ ভালো করে,An apple a day keeps the doctor away,,HIGH,False,bn-en,0.2740756869316101,0.32327890396118164
469,আদা জল খেয়ে পড়ে থাকা,কার্যসিদ্ধির জন্য ধর্ণা দেওয়া,"Go on a hunger strike', 'Throw oneself on the floor in protest",,HIGH,False,bn-en,,
470,আদাজল খেয়ে লাগা,দৃঢ়সংকল্প নিয়ে কাজ করা; নাছোড়বান্দা হয়ে লাগা; প্রাণপণ চেষ্টা করা; মরিয়া হয়ে লাগা,"buckle down', 'go at it hammer and tongs', 'throw oneself into something",,HIGH,False,bn-en,,
471,আদাড়-পাদাড়,সহচর শব্দ; আবর্জনা ফেলার যায়গা; অস্থান কুস্থান; জলা জঙলা,"boondocks', 'back of beyond', 'armpit of the world",,HIGH,False,bn-en,,
472,আদাড়বনে শিয়াল রাজা,নিজের এলাকায় সবাই প্রভুত্ব করে,"Every cock is a king in his own dunghill', 'A big frog in a small pond",,HIGH,False,bn-en,,
473,আদাড়ের হাঁড়ি,অনাদৃত ব্যক্তি; নীচব্যক্তি; নোংরামনের লোক- গালিবিশেষ,"lowlife', 'scum of the earth', 'dirty rat",,HIGH,False,bn-en,,
474,আদা-কাঁচকলা সম্পর্ক,"চিরবৈরিতা, তিক্ত সম্পর্ক, পরস্পর শত্রু ভাবাপন্ন, বিরুদ্ধ স্বভাবযুক্ত","Like cats and dogs', 'Oil and water",,HIGH,False,bn-en,,
475,আদার ব্যাপারী,"ক্ষুদ্র ব্যবসায়ী; নগণ্য/সামান্য ব্যক্তি, সামান্য বিষয়ে ব্যস্ত ব্যক্তি","small fry', 'small-time operator', 'penny ante",,HIGH,False,bn-en,,
476,আদিরস,কাম ও প্রেমরস; শৃঙ্গাররস,"The thrill of passion', 'Erotic essence",,HIGH,False,bn-en,,
477,আদুরে গোপাল,অত্যন্ত আদরে লালিত-পালিত সন্তান; লাই দিয়ে যার ইহকাল পরকাল শেষ; অতিরিক্ত আহ্লাদী,"Spoiled child', ""Apple of one's eye"", 'Pampered darling",,HIGH,False,bn-en,,
478,আদেখলা,দেখার বা পাওয়ার জন্য এত ব্যগ্র যে মনে হয় পূর্বে কখনো কোনো ভালো জিনিস দেখেনি বা ভোগ করেনি,"Like a kid in a candy store', 'Wide-eyed with wonder",,HIGH,False,bn-en,,
479,আদ্যিকালের বদ্যিবুড়ো,অত্যন্ত প্রাচীন বা অভিজ্ঞ ব্যক্তি,"old as the hills', 'wise old soul",,HIGH,False,bn-en,,
480,আদরু-পেঁদরু,সাহেবিয়ানার আতিশয্য প্রকাশকারী ব্যক্তি,"Brown sahib', 'Putting on airs', 'Ape the gentry",,HIGH,False,bn-en,,
481,আধাখেঁচড়া,অসম্পূর্ণ; অর্ধ-সম্পাদিত; অর্ধেক একরকম অর্ধেক অন্যরকম,"half-baked', 'neither fish nor fowl",,HIGH,False,bn-en,,
482,আধা-পাগলা,ক্ষ্যাপাটে; পাগলের মতো হাবভাববিশিষ্ট; বাতিকগ্রস্ত,"A little crazy', 'One brick short of a load', 'Eccentric",,HIGH,False,bn-en,,
483,আধাবয়সী,মাঝবয়সী; প্রৌঢ়,"Middle-aged', ""In one's forties or fifties",,HIGH,False,bn-en,,
484,আধকামারিয়া,অর্বাচীন; হাতুড়ে,"half-baked', 'jack of all trades, master of none', 'amateur hour",,HIGH,False,bn-en,,
485,আধবুড়ো,প্রায় বুড়ো; প্রৌঢ়,"middle-aged', 'getting on in years",,HIGH,False,bn-en,,
486,আধমণি কৈলাস,প্রচুর পরিমাণে খেতে পারে এমন লোক,"Eat like a horse', 'Have a bottomless pit for a stomach",,HIGH,False,bn-en,,
