idiom_en,meaning_en,literal_en,sentence_en
Chinese whispers,To pass messages or rumors indirectly through others' mouths,,
Bush telegraph,To pass messages or rumors indirectly through others' mouths,,
Start a rumor,The origin or emergence of slanderous or condemnable talk,,
Stir up trouble,The origin or emergence of slanderous or condemnable talk,,
Breed gossip,The origin or emergence of slanderous or condemnable talk,,
Go back on one's word,Not keeping one's promise or word,,
Break a promise,Not keeping one's promise or word,,
Not a word of complaint,There is no objection or protest,,
Without a murmur,There is no objection or protest,,
pay no heed,to disregard or ignore,,
Keep one's word,To act according to one's word; to keep one's promise,,
A man of his word,To act according to one's word; to keep one's promise,,
Honor a promise,To act according to one's word; to keep one's promise,,
ring finger,"The fourth finger next to the middle finger, the nameless finger; the ring finger",,
Worm information out of someone,To extract information from someone by engaging in conversation tailored to one's own advantage,,
Pump someone for details,To extract information from someone by engaging in conversation tailored to one's own advantage,,
Pledge one's troth,"To give one's word or promise, often in the context of marriage or formal commitment",,
Break one's promise,To change one's word; to become untrue or false,,
Eat one's words,To change one's word; to become untrue or false,,
Hold someone to their word,To hold someone accountable to their promise or to demand fulfillment of a commitment,,
Call in a promise,To hold someone accountable to their promise or to demand fulfillment of a commitment,,
Change the subject,Changing the subject or topic,,
Change the topic,Changing the subject or topic,,
exchange words,"quarrel, argument, dispute",,
have a spat,"quarrel, argument, dispute",,
verbal altercation,"quarrel, argument, dispute",,
slip of the tongue,slip of the tongue or verbal mistake,,
foot in mouth,slip of the tongue or verbal mistake,,
break in conversation,a pause or break in the middle of speech,,
interruption in speech,a pause or break in the middle of speech,,
Without warning,"Without any prior discussion or notice, suddenly",,
ugly as sin,An ugly person; one whose face brings misfortune,,
face that could stop a clock,An ugly person; one whose face brings misfortune,,
To broach the subject,To bring up a topic or make a proposal,,
To pop the question,To bring up a topic or make a proposal,,
break one's word,"To disregard or ignore one's word, to neglect or break a promise",,
go back on one's promise,"To disregard or ignore one's word, to neglect or break a promise",,
To give one's verdict,To express a decision; to firmly state an opinion on a matter,,
find one's voice,The emergence of speech ability; a child uttering meaningful words; learning to speak,,
baby's first words,The emergence of speech ability; a child uttering meaningful words; learning to speak,,
Break the silence,To break the silence,,
Fan the flames,To instigate quarrels or sow discord,,
Have a talk,To discuss a specific matter,,
Discuss something,To discuss a specific matter,,
Talk it over,To discuss a specific matter,,
Make a mountain out of a molehill,"Getting entangled in arguments, prolonging a trivial matter",,
freak of nature,bizarre; grotesque; unnatural or out of creation,,
monstrosity,bizarre; grotesque; unnatural or out of creation,,
You can tell a man by the cut of his jib,Elegance in speech; the charm of sentence construction,,
"Actions speak louder than words (in reverse, focusing on speech)",Elegance in speech; the charm of sentence construction,,
live by one's tongue,Earning money in exchange for words; engaging in brokerage or advocacy,,
earn a living through persuasion,Earning money in exchange for words; engaging in brokerage or advocacy,,
talk one's way to success,Earning a living by captivating people's minds with eloquence or persuasive speech,,
live by one's wits (verbally),Earning a living by captivating people's minds with eloquence or persuasive speech,,
Honor one's promise,Keeping one's promise; upholding the truth,,
To toe the line,To obey orders or advice; to listen and comply; to be compelled,,
To do as one is told,To obey orders or advice; to listen and comply; to be compelled,,
To follow orders,To obey orders or advice; to listen and comply; to be compelled,,
Empty words,"Mere words, not put into action",,
Lip service,"Mere words, not put into action",,
The argument drags on,The argument prolongs through responses and counter-responses; there is no resolution to the debate,,
A storm in a teacup,Quarrel over trivial or causeless words,,
at every turn,"in every word, always; at every step",,
in every instance,"in every word, always; at every step",,
unpaid labor,"Sarcastically, unpaid; works but receives no salary",,
working for free,"Sarcastically, unpaid; works but receives no salary",,
By the way,In the course of conversation or incidentally through talk,,
In the course of conversation,In the course of conversation or incidentally through talk,,
time flies in conversation,in the course of idle conversation or chit-chat,,
chatting away the hours,in the course of idle conversation or chit-chat,,
before you know it,A reduplicated expression indicating absent-mindedness or doing something without realizing while talking,,
lost in conversation,A reduplicated expression indicating absent-mindedness or doing something without realizing while talking,,
Talk is cheap,Achieving goals through mere talk or trickery; attempting success without effort or cost; seeking easy accomplishment of objectives,,
Easier said than done,Achieving goals through mere talk or trickery; attempting success without effort or cost; seeking easy accomplishment of objectives,,
Actions speak louder than words,Mere words or empty talk do not accomplish anything,,
Big talk,"Boastful or pompous talk, empty rhetoric",,
get mixed up in,To get involved in a matter; to entangle oneself in someone's affair; to be in association or contact,,
be in the thick of it,To get involved in a matter; to entangle oneself in someone's affair; to be in association or contact,,
tangle with,To get involved in a matter; to entangle oneself in someone's affair; to be in association or contact,,
keep in touch,to maintain communication or contact,,
stay in contact,to maintain communication or contact,,
Steer clear of,Not getting involved; not associating with,,
Wash one's hands of,Not getting involved; not associating with,,
Keep out of it,Not getting involved; not associating with,,
As the saying goes,Proverbs or maxims; well-known or proverbial sayings,,
It's said that,Proverbs or maxims; well-known or proverbial sayings,,
The proverb states,Proverbs or maxims; well-known or proverbial sayings,,
Turn lemons into lemonade,The emergence of good from a bad incident; equivalent to 'blessing in disguise' or 'opposite in harm',,
Eloquence,The elegance of speech; the polish of expression; the charm and rhythm of words,,
Silver-tongued oratory,The elegance of speech; the polish of expression; the charm and rhythm of words,,
hold one's tongue,restraint in speech,,
bite one's tongue,restraint in speech,,
Mere talk,"Baseless conversation, insubstantial or worthless talk, light-hearted chatter, casual or empty words",,
Cut to the chase,"The main point or essence of the matter, substantive talk",,
Get to the point,"The main point or essence of the matter, substantive talk",,
The bottom line,"The main point or essence of the matter, substantive talk",,
Wordplay,Clever or witty speech; verbal dexterity,,
Verbal sparring,Clever or witty speech; verbal dexterity,,
Battle of wits,Clever or witty speech; verbal dexterity,,
boastful talk,Fierce self-assertiveness in speech; strong manifestation of ego in utterances,,
casually mention,"in the course of conversation, while talking",,
Gift of the gab,A person with the ability to speak endlessly or volubly,,
Motor mouth,A person with the ability to speak endlessly or volubly,,
Chatterbox,A person with the ability to speak endlessly or volubly,,
Chaser (in medicinal context),A sweet beverage taken with or after medicine,,
Windbag,"Talkative person, verbose or chatterbox",,
Talk a blue streak,Uninterrupted flow of words or verbose speech,,
Run off at the mouth,Uninterrupted flow of words or verbose speech,,
words like a knife,cutting or harsh words,,
"Big mouth, no follow-through",Eloquent and verbose in speech but ineffective and lazy in action,,
Gifted with the gab,Eloquent speaker; talkative person; loquacious,,
Loose-tongued,Eloquent speaker; talkative person; loquacious,,
one thing leads to another,Words that arise sequentially in the course of conversation,,
talk that flows naturally,Words that arise sequentially in the course of conversation,,
Bite the bullet,Doing something unwillingly because one cannot refuse a request,,
Swallow a bitter pill,Doing something unwillingly because one cannot refuse a request,,
verbal gymnastics,verbal dexterity or cleverness,,
reading between the lines,ambiguous or unclear speech,,
what's left unsaid,ambiguous or unclear speech,,
silver tongue,Neatness of speech; elegance of sentence structure; restraint in speaking,,
foul-mouthed,"Sarcastically, the ugliness of speech; lack of sweetness in words",,
bitter tongue,"Sarcastically, the ugliness of speech; lack of sweetness in words",,
Empty vessel makes the most noise,"A person who is all talk and no substance, verbose with empty words, a smooth talker without action",,
Hot air balloon,"A person who is all talk and no substance, verbose with empty words, a smooth talker without action",,
No head or tail,Coherence between the beginning and end of speech; logical sequence of a statement,,
No rhyme or reason,Coherence between the beginning and end of speech; logical sequence of a statement,,
doesn't make head or tail,incoherent or disjointed speech,,
neither rhyme nor reason,incoherent or disjointed speech,,
True to one's word,A reliable person who keeps their word,,
jumping the gun,Initiating an auspicious activity at an inappropriate time,,
ill-timed action,Initiating an auspicious activity at an inappropriate time,,
go the extra mile,Agreeing to undertake a difficult task upon request,,
bend over backwards,Agreeing to undertake a difficult task upon request,,
Twist words,"Verbal jugglery or cunning, deceitful speech",,
Getting the ball rolling,Introduction of a topic,,
Beating a dead horse,Waste of words; idle or futile talk,,
Honeyed words,The sweetness or charm of language,,
coarse language,"Harshness in the style of speech; absence of beauty, charm, or elegance in words",,
blunt speech,"Harshness in the style of speech; absence of beauty, charm, or elegance in words",,
playing with words,A single word acquiring multiple (unjust) meanings; different interpretations of the same statement,,
twisting the meaning,A single word acquiring multiple (unjust) meanings; different interpretations of the same statement,,
double entendre,A single word acquiring multiple (unjust) meanings; different interpretations of the same statement,,
prose fiction,"Prose literature such as stories, novels, and similar writings",,
belles-lettres,"Prose literature such as stories, novels, and similar writings",,
wordsmith,Novelist or fiction writer,,
storyteller,Novelist or fiction writer,,
Marrying down,Marriage of a groom from a higher caste with a bride from a lower caste,,
Hypogamy,Marriage of a groom from a higher caste with a bride from a lower caste,,
To listen to one's elders,To obey instructions or heed advice,,
get an earful,to be reprimanded or scolded,,
be told off,to be reprimanded or scolded,,
Read the riot act,To speak harshly; to reprimand or scold,,
That's all,End of conversation or story,,
Wrapping up,End of conversation or story,,
fiction,"Stories, novels, and other narratives",,
prose literature,"Stories, novels, and other narratives",,
conversation,"conversation, discussion, dialogue",,
chat,"conversation, discussion, dialogue",,
talk,"conversation, discussion, dialogue",,
doctor's handwriting,ugly or illegible handwriting,,
pixie cut,A short and fluffy haircut resembling the small flowers of the kadam tree,,
bob haircut,A short and fluffy haircut resembling the small flowers of the kadam tree,,
jumping through hoops,After much effort and hard work,,
touch one's feet,The custom of greeting or showing respect by touching the feet with hands,,
pay obeisance,The custom of greeting or showing respect by touching the feet with hands,,
kowtow,The custom of greeting or showing respect by touching the feet with hands,,
a lecher,A person of lecherous or promiscuous character,,
a philanderer,A person of lecherous or promiscuous character,,
a skirt-chaser,A person of lecherous or promiscuous character,,
Set in stone,"Referring to something that never changes its shape or form at any time, just like Kadamba flowers which are born and grow uniformly in a spherical shape",,
Unchanging as the hills,"Referring to something that never changes its shape or form at any time, just like Kadamba flowers which are born and grow uniformly in a spherical shape",,
biting cold,An onomatopoeic word evoking an intense or sharp sensory feeling,,
chilling to the bone,An onomatopoeic word evoking an intense or sharp sensory feeling,,
in full bloom,glorious full bloom or magnificent complete development,,
the flower of youth,glorious full bloom or magnificent complete development,,
Bridal adornment,Decoration of the bride's face with sandalwood paste,,
Wedding makeup ritual,Decoration of the bride's face with sandalwood paste,,
Golden hour,The soft golden light of dusk,,
Twilight glow,The soft golden light of dusk,,
Newlywed wife,Newlywed bride,,
Young bride,Newlywed bride,,
Bride's party guests,Guests invited from the bride's side to the groom's house on the occasion of marriage,,
Wedding entourage from the bride's family,Guests invited from the bride's side to the groom's house on the occasion of marriage,,
Slippery as an eel,Extremely cunning; a shrewd person whose intentions or movements cannot be easily discerned,,
A sly fox,Extremely cunning; a shrewd person whose intentions or movements cannot be easily discerned,,
A go-between in family matters,"Someone who is present on both sides, a relative and trusted person of both parties",,
Shrew,A woman who loves quarrels,,
Firebrand,A woman who loves quarrels,,
Adonis,"Beautiful complexion, handsome man",,
Greek god,"Beautiful complexion, handsome man",,
figment of the imagination,An imaginary headless ghost,,
boogeyman,An imaginary headless ghost,,
marriageable age,"maidenhood, marriageable age",,
in her prime (for marriage),"maidenhood, marriageable age",,
dowry demand,Illegal demand for dowry from the groom's side to the bride's side,,
bride price extortion,Illegal demand for dowry from the groom's side to the bride's side,,
Parroting words,Speaking learned words without understanding their meaning; reciting like a bird's chirp; babbling incessantly,,
Chattering like a magpie,Speaking learned words without understanding their meaning; reciting like a bird's chirp; babbling incessantly,,
Talking gibberish,Speaking learned words without understanding their meaning; reciting like a bird's chirp; babbling incessantly,,
a pittance,smallest fraction of ancient coinage; cowrie shell used as currency,,
not a penny,"The smallest possible amount of money, a coin",,
broke as a joke,"The smallest possible amount of money, a coin",,
destitute,"penniless, without possessions",,
kismet,"fate, destiny",,
written in the stars,"fate, destiny",,
one's lot in life,"fate, destiny",,
Born under a bad star,Misfortune; ill-fated,,
Jinxed,Misfortune; ill-fated,,
Cursed with bad luck,Misfortune; ill-fated,,
Born under a bad sign,Having bad luck or unfavorable fate,,
Hard luck,Having bad luck or unfavorable fate,,
By a stroke of luck,"By good fortune, by the favor of fate, suddenly",,
Fortune smiles upon,"By good fortune, by the favor of fate, suddenly",,
Luck of the draw for the undeserving,Rising to prominence through the undeserved fortune of an unworthy person,,
Born under a lucky star,Obtaining good offspring by the power of fate or sheer luck,,
Fortune favors the family,Obtaining good offspring by the power of fate or sheer luck,,
Born with a silver spoon in his mouth (negative twist),Sarcastically indicating misfortune in obtaining a worthless or ill-fated child,,
Cursed with bad luck in family matters,Sarcastically indicating misfortune in obtaining a worthless or ill-fated child,,
facepalm,To express regret for one's own mistake; to lament by blaming fate,,
slap one's forehead in dismay,To express regret for one's own mistake; to lament by blaming fate,,
beat one's breast,To express regret for one's own mistake; to lament by blaming fate,,
fate is on one's side,"power of destiny, strength of luck, overwhelming good fortune",,
Fortune favors the bold,"If one's fate is strong, good fortune or prosperity comes",,
Luck comes to the prepared,"If one's fate is strong, good fortune or prosperity comes",,
bow down in respect,To perform pranam by touching the forehead in Hindu tradition,,
knock on wood,"To plead with fate or destiny by knocking one's forehead, seeking success through supplication",,
leave it to the gods,"To plead with fate or destiny by knocking one's forehead, seeking success through supplication",,
Take the plunge,Starting work without worrying about the outcome or fate; beginning a task courageously with the mindset that 'whatever is destined will happen',,
Jump in with both feet,Starting work without worrying about the outcome or fate; beginning a task courageously with the mindset that 'whatever is destined will happen',,
Go for broke,Starting work without worrying about the outcome or fate; beginning a task courageously with the mindset that 'whatever is destined will happen',,
Bad luck,"Bad luck, adverse fate",,
down on one's luck,Loss of good fortune; occurrence of some misfortune,,
ill-fated,Loss of good fortune; occurrence of some misfortune,,
turn of luck,"Improvement in circumstances; bad luck turning favorable again, gaining good fortune",,
fortune smiles,"Improvement in circumstances; bad luck turning favorable again, gaining good fortune",,
luck changes for the better,"Improvement in circumstances; bad luck turning favorable again, gaining good fortune",,
A stroke of bad fortune,"Fate becoming unfavorable, falling into misfortune",,
a hidden sorrow,Secret pain; a hidden blow to someone's mind unknown to others,,
inner turmoil,Secret pain; a hidden blow to someone's mind unknown to others,,
Lady Luck smiles on him,"Fortunate person, one blessed with good luck",,
Ill-starred,"Misfortune or ill fate, especially a mild curse directed at women implying no good fortune",,
It's fate,To blame one's fate or destiny,,
Blame it on bad luck,To blame one's fate or destiny,,
Ill fate,"Malefic influence, misfortune, ill luck; bad destiny; fault of fate/misery/calamity",,
Stroke of misfortune,"Malefic influence, misfortune, ill luck; bad destiny; fault of fate/misery/calamity",,
One's fate is sealed,"Predestined fate, result of karma, destiny",,
lovebirds,lover - beloved,,
Live hand to mouth,Living without saving; spending everything one earns without accumulating wealth,,
Burn the candle at both ends,Living without saving; spending everything one earns without accumulating wealth,,
prick of conscience,conscience,,
inner voice,conscience,,
pie in the sky,Unrealistic and absurd imagination; fabricated story; falsehood,,
tall tale,Unrealistic and absurd imagination; fabricated story; falsehood,,
Put the last nail in the coffin,To completely destroy or bring to final ruin,,
dig one's own grave,to harm oneself or dig one's own grave,,
to bury the past,"to bid farewell, to completely abandon",,
to put to rest,"to bid farewell, to completely abandon",,
in the clutches of,"seizure by force, engulfing grasp",,
fall prey to,"seizure by force, engulfing grasp",,
Grease someone's palm,Secretly filling someone's fist; giving a bribe covertly,,
Bribe under the table,Secretly filling someone's fist; giving a bribe covertly,,
Can't tell A from B,"Illiterate, fool",,
plead guilty,"acceptance, agreement, admission",,
lukewarm,lukewarm or tepid,,
tepid,lukewarm or tepid,,
Under someone's thumb,Unwanted authority or influence,,
In the grip of,Unwanted authority or influence,,
Under control,Unwanted authority or influence,,
Baptism in holy waters,Immersion of the lower body of Hindu devotees in the Ganges water for attainment of otherworldly bliss,,
Ritual dipping for purification,Immersion of the lower body of Hindu devotees in the Ganges water for attainment of otherworldly bliss,,
to get a grip on,to bring under control or possession,,
to take possession of,to bring under control or possession,,
to seize control,to bring under control or possession,,
Land grab,To unlawfully occupy or seize possession,,
Encroachment,To unlawfully occupy or seize possession,,
Squatter's rights,To unlawfully occupy or seize possession,,
Dim-witted,"Foolish, lacking intelligence",,
Short on brains,"Foolish, lacking intelligence",,
No small feat,Not a matter to be ignored or taken lightly,,
Not to be sneezed at,Not a matter to be ignored or taken lightly,,
No mean achievement,Not a matter to be ignored or taken lightly,,
under the weather,weakness or frailty,,
feeling frail,weakness or frailty,,
Big fish in a small pond,An ordinary naive or foolish person who acts boastfully in a limited environment,,
Big frog in a small puddle,An ordinary naive or foolish person who acts boastfully in a limited environment,,
more or less,"approximately, more or less",,
roughly,"approximately, more or less",,
about,"approximately, more or less",,
give or take,a little less or more; slight difference,,
The beginning of the end,The beginning of the end; fall or death is imminent,,
On the brink of doom,The beginning of the end; fall or death is imminent,,
Counting one's last days,The beginning of the end; fall or death is imminent,,
Doe-eyed,Having eyes as beautiful as a lotus; resembling Goddess Lakshmi,,
Lotus-eyed,Having eyes as beautiful as a lotus; resembling Goddess Lakshmi,,
Lady Luck,Goddess Lakshmi,,
Fortune's favor,Goddess Lakshmi,,
a tad,a little; a bit; one or two,,
at least,"at least, at the minimum, to say the least",,
Won't budge an inch,Stubborn or unrelenting; refusing to give up or let go,,
Cling like a leech,Stubborn or unrelenting; refusing to give up or let go,,
Hold on like a bulldog,Stubborn or unrelenting; refusing to give up or let go,,
a fool's errand,Attempting an impossible or futile task,,
tilting at windmills,Attempting an impossible or futile task,,
booming voice,A deep and resonant voice like the sound of a conch shell,,
voice like thunder,A deep and resonant voice like the sound of a conch shell,,
A leopard doesn't change its spots,Inherent nature that cannot be changed,,
The tiger can't change its stripes,Inherent nature that cannot be changed,,
prisoner of circumstance,"trapped, bound, captive",,
Untimely death,Death before reaching mature age,,
Cut off in one's prime,Death before reaching mature age,,
Die young,Death before reaching mature age,,
burning with jealousy,burning torment of the body due to jealousy,,
green with envy,burning torment of the body due to jealousy,,
mint condition,"brand new, completely fresh",,
Gritty,Having a granular or sandy texture,,
Coarse-grained,Having a granular or sandy texture,,
palm lines,The auspicious and inauspicious lines on the palm resembling leprosy marks,,
with folded hands,with folded hands (indicating earnest plea or apology),,
on bended knee,with folded hands (indicating earnest plea or apology),,
begging for mercy,with folded hands (indicating earnest plea or apology),,
wedding bells,marriage,,
secured,obtained or in possession,,
dainty hands,Hands soft like flower petals; beautiful hands,,
delicate fingers,Hands soft like flower petals; beautiful hands,,
clasped hands in plea,joined hands (in supplication or prayer),,
tax-exempt property,Tax-free or revenue-exempt land where no rent or tax is payable,,
rent-free land,Tax-free or revenue-exempt land where no rent or tax is payable,,
on one's deathbed,Time of death; state of dying,,
final moments,Time of death; state of dying,,
last breath,Time of death; state of dying,,
frightful hag,A woman with a terrifying or fierce face,,
ogre-faced woman,A woman with a terrifying or fierce face,,
hands-on person,"Skilled; diligent; intelligent, someone who works with their own hands",,
industrious worker,"Skilled; diligent; intelligent, someone who works with their own hands",,
an eyesore,"Sarcastically - ugly appearance, bizarre form",,
a monstrosity,"Sarcastically - ugly appearance, bizarre form",,
earning one's keep,Finding ways to earn a livelihood,,
By the sweat of one's brow,Earning one's livelihood through diligent effort and hard work,,
Earn one's keep,Earning one's livelihood through diligent effort and hard work,,
Work for a living,Earning one's livelihood through diligent effort and hard work,,
"No debt, no care",Having no debt means no worry or fear,,
"Out of debt, out of danger",Having no debt means no worry or fear,,
Come to one's ears,Something that has been heard or come to one's ears,,
Word has reached my ears,Something that has been heard or come to one's ears,,
lend an ear,to pay attention or give importance,,
pay heed,to pay attention or give importance,,
man and wife,husband and wife,,
married couple,husband and wife,,
The blind leading the blind,"A situation where the blind try to guide the lame, leading to futility or incompetence",,
Like the pot calling the kettle black,"A situation where the blind try to guide the lame, leading to futility or incompetence",,
Bossing around,Acting like a boss or displaying authority,,
Acting high and mighty,Acting like a boss or displaying authority,,
A religious denomination,A religious sect following the doctrine of Aulchand,,
A spiritual cult,A religious sect following the doctrine of Aulchand,,
Apple polisher,"Sycophants or flatterers of those in power, bootlickers or yes-men",,
The boss's word is law,"Work according to the superior or master's orders, with no scope for reasoning; arbitrariness",,
Whatever the master says goes,"Work according to the superior or master's orders, with no scope for reasoning; arbitrariness",,
goings-on,all sorts of activities or deeds,,
antics,all sorts of activities or deeds,,
doings,all sorts of activities or deeds,,
fly in the ointment,Something that creates obstacles or destruction in one's work or efforts,,
wet blanket,Something that creates obstacles or destruction in one's work or efforts,,
reap what you sow,"The result of one's deeds which, according to popular belief, one must experience in the next life",,
chickens come home to roost,bad luck or ill fortune due to past actions,,
labor in vain,Unnecessary or futile labor,,
busywork,Unnecessary or futile labor,,
to see stars (from shock or fear),To become disoriented or bewildered due to fear of impending danger or overwhelming worry and anxiety,,
to be scared out of one's wits,To become disoriented or bewildered due to fear of impending danger or overwhelming worry and anxiety,,
on business,for the sake of work or job requirements,,
for professional reasons,for the sake of work or job requirements,,
it's a trap,trap,,
fall into a snare,trap,,
Sweet-voiced,Person distinguished by a sweet or melodious voice,,
With the voice of a nightingale,Person distinguished by a sweet or melodious voice,,
Nuts and bolts,Various parts of a machine or device,,
Gears and cogs,Various parts of a machine or device,,
the nuts and bolts (of the body),parts of the body or limbs,,
body's moving parts,parts of the body or limbs,,
The twittering of birds,Sweet and melodious voice; pleasant humming sound,,
Melodious chirping,Sweet and melodious voice; pleasant humming sound,,
hold the keys,"key, control or management power",,
in the driver's seat,"key, control or management power",,
call the shots,"key, control or management power",,
Pull strings,To manipulate or control secretly,,
Work behind the scenes,To manipulate or control secretly,,
Pull the strings,To manipulate or control from behind the scenes with malicious intent,,
Work behind the curtain,To manipulate or control from behind the scenes with malicious intent,,
to paint a bleak picture,To overwhelm someone by putting them in trouble or distress,,
to throw someone into the dark,To overwhelm someone by putting them in trouble or distress,,
Pulling the strings,To give malicious advice or manipulate secretly from behind the scenes,,
Working behind the scenes,To give malicious advice or manipulate secretly from behind the scenes,,
to be held in high regard,To receive respect in gatherings; to be treated with care and honor; to gain recognition; not to be ignored,,
to get one's due respect,To receive respect in gatherings; to be treated with care and honor; to gain recognition; not to be ignored,,
to command attention,To receive respect in gatherings; to be treated with care and honor; to gain recognition; not to be ignored,,
tricks of the trade,Clever strategies; various tactics,,
cunning ploy,Clever strategies; various tactics,,
Big-hearted,A kind-hearted or compassionate person,,
Has a heart of gold,A kind-hearted or compassionate person,,
guts,extreme courage or boldness,,
lion-hearted,extreme courage or boldness,,
nerves of steel,extreme courage or boldness,,
Heartbroken to the point of insanity,Driven mad by grief and sorrow,,
Burning with grief,Driven mad by grief and sorrow,,
Pulling strings behind the scenes,To scheme secretly; to give covert advice or instigation,,
Whispering in one's ear,To scheme secretly; to give covert advice or instigation,,
Egging someone on,To scheme secretly; to give covert advice or instigation,,
Rock the boat,"Similar to stirring the pump handle, meaning to create unnecessary trouble or stir up excitement futilely",,
buzz of conversation,the combined murmur of many voices,,
murmur of the crowd,the combined murmur of many voices,,
To take a cutting,To propagate a plant by grafting a branch cutting to create a new sapling,,
To graft onto,To propagate a plant by grafting a branch cutting to create a new sapling,,
Finding a needle in a haystack,A task that is almost impossible to accomplish,,
Mission impossible,A task that is almost impossible to accomplish,,
Like herding cats,A task that is almost impossible to accomplish,,
white-collar job,"clerical work, clerkship, writing profession",,
desk job,"clerical work, clerkship, writing profession",,
pen pusher,professional writer,,
hack writer,professional writer,,
poison pen letter,A malicious written order intended to cause harm,,
hatchet job,A harmful or irritating piece of writing directed against someone,,
The pen is mightier than the sword,"Intellectual power, influence of writing",,
Butter someone up,"Excessive flattery, overdoing praise",,
Brown-nose,"Excessive flattery, overdoing praise",,
Lay it on thick,"Excessive flattery, overdoing praise",,
A big family tree,A family with numerous members or a large lineage,,
Numerous offspring,A family with numerous members or a large lineage,,
din,Collective loud shouting or clamor of many voices; uproar,,
Sweet as a bird's song,Melodious or sweet sound,,
The cuckoo's call,Melodious or sweet sound,,
pull a fast one,"nothing, trick, lie",,
nothing doing,"nothing, trick, lie",,
Looking for a needle in a haystack,A futile or impossible effort,,
Searching for a black cat in a dark room,A futile or impossible effort,,
To draw a blank,To be unable to do anything,,
To be at a loss for words,To be unable to do anything,,
with cunning artifice,by clever or ingenious means,,
Monkey around (playful insult implying foolishness),To be called a monkey - a particular insult,,
You're an ape (derogatory term for someone silly or primitive),To be called a monkey - a particular insult,,
Twiddle your thumbs,Become despondent; fail at something and remain idle; get stuck in a dilemma,,
Sit on your hands,Become despondent; fail at something and remain idle; get stuck in a dilemma,,
Lick your wounds,Become despondent; fail at something and remain idle; get stuck in a dilemma,,
Drop dead,To die (used as a special insult referring to eating bananas during funeral rites),,
Kick the bucket,To die (used as a special insult referring to eating bananas during funeral rites),,
Birdbrain,Monkey-like foolish intelligence,,
Tie the knot,To get married,,
Walk down the aisle,To get married,,
to turn a blind eye,to disregard or disobey,,
to brush off,to disregard or disobey,,
To give someone the slip,"To deceive or trick someone, equivalent to showing the thumb in mockery",,
To thumb one's nose,"To deceive or trick someone, equivalent to showing the thumb in mockery",,
To pull a fast one,"To deceive or trick someone, equivalent to showing the thumb in mockery",,
flashing one's privates,a specific vulgar rural insult referring to exposing one's genitals,,
mooning,a specific vulgar rural insult referring to exposing one's genitals,,
A shot in the dark,Taking action despite uncertainty in the hope that it might succeed,,
a wild goose chase,"nothing, a trick or deception",,
go to hell,a specific obscene insult,,
Wallflower (for someone overly reserved),"Sarcastically, a bride or wife who wears an excessively long veil",,
Behind the times (for outdated customs),"Sarcastically, a bride or wife who wears an excessively long veil",,
shrinking violet,"In jest, an extremely shy rural housewife",,
wallflower,"In jest, an extremely shy rural housewife",,
barking up the wrong tree,"Attempting a monumental task with minimal effort, pursuing an impossible endeavor, or harboring unattainable ambitions",,
go to waste,to amount to nothing or be of no use,,
be in vain,to amount to nothing or be of no use,,
amount to zilch,to amount to nothing or be of no use,,
To get the red carpet treatment,"Receiving attention, respect, or honor in social gatherings; being shown care and regard",,
To be given pride of place,"Receiving attention, respect, or honor in social gatherings; being shown care and regard",,
In the bloom of youth,A girl in the budding or nascent stage of youth; a maiden in the early bloom of womanhood,,
Spring chicken,A girl in the budding or nascent stage of youth; a maiden in the early bloom of womanhood,,
Dark Ages,The era of immorality and intolerance,,
End times,The era of immorality and intolerance,,
Shooting in the dark,Doing or saying something based purely on guesswork or assumption,,
heart (as in 'heartache'),heart; mind or emotions,,
gut feeling (metaphorical inner emotion),heart; mind or emotions,,
Heartburn of grief,The heart burns to ashes in grief and sorrow,,
Burning with sorrow,The heart burns to ashes in grief and sorrow,,
gutsy,bold or daring,,
Have a lot of guts,Excessive or great courage,,
Full of bravery,Excessive or great courage,,
spring cleaning,To whitewash the house every few days or once a year,,
giving a fresh coat of paint,To whitewash the house every few days or once a year,,
The devil incarnate,The epitome of wickedness,,
A monster in human form,The epitome of wickedness,,
Dead shot,Unerring in aim,,
Hit the bullseye,Unerring in aim,,
ladies' man,A womanizer or new lover indulging in female company; a person of debauched and lecherous character,,
rake,A womanizer or new lover indulging in female company; a person of debauched and lecherous character,,
libertine,A womanizer or new lover indulging in female company; a person of debauched and lecherous character,,
Casanova,A lover of many women simultaneously; a philanderer,,
Womanizer,A lover of many women simultaneously; a philanderer,,
"like father, like son (in a negative sense)","sarcastically, the bad offspring of a bad father",,
chip off the old block (derogatory),"sarcastically, the bad offspring of a bad father",,
In the dark,Not knowing anything; being completely ignorant or unaware about a matter,,
Clueless,Not knowing anything; being completely ignorant or unaware about a matter,,
Out of the loop,Not knowing anything; being completely ignorant or unaware about a matter,,
Eats like a horse,A great glutton,,
A bottomless pit,A great glutton,,
Pious fraud,A hypocritical person who preaches piety but acts deceitfully,,
Spendthrift wife,"Sarcastically referring to a woman who, instead of buying household necessities with the money saved by her dutiful husband, spends it on her own adornments and vanity",,
Vanity over necessity,"Sarcastically referring to a woman who, instead of buying household necessities with the money saved by her dutiful husband, spends it on her own adornments and vanity",,
The calm before the storm,The onset of terrible hard times or misfortune,,
beast of burden,"A mindless person who toils continuously at others' behest; someone who performs arduous labor in unwelcome tasks; an indifferent, unquestioning drudge",,
