"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"821","এঁচড়ে পাকা","অকালপক্ব; ডেঁপো; ফাজিল","wise beyond one's years"", 'cocky', 'smart aleck","","धरती पर पाँव न पड़ना","To be very proud or arrogant; to have an inflated ego.","prematurely mature; arrogant; frivolous","HIGH","bagdhara","False"
"822","এঁটিলি","গরু কুকুর প্রভৃতি পশুর গায়ে এঁটে থাকা রক্ত শোষণ করে এমন ক্ষুদ্র চর্মকীটবিশেষ","bloodsucker', 'leech', 'tick","","होश ठिकाने लगाना","To make someone realize the error of their ways; to bring someone back to their senses.","A small skin parasite that attaches to the bodies of animals like cows and dogs and sucks their blood","HIGH","bagdhara","False"
"823","এঁটুলিপোকা","গায়ে আঠার মত লেগে থাকা লোক; নাছোড়বান্দা; রক্তচোষা","leech', 'bloodsucker', 'clingy as a tick","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who sticks like glue to the body; persistent; bloodsucker","HIGH","bagdhara","False"
"824","এঁটে ওঠা","পেরে ওঠা; সামলে ওঠা; সমকক্ষ হওয়া; সমানে পাল্লা নিতে পারা","hold one's own"", 'measure up', 'keep up with', 'stand a chance","","लोहा लेना","To confront or compete with someone; to measure one's strength against another.","to cope or manage; to hold one's own; to be on par; to compete equally","HIGH","bagdhara","False"
"825","এঁটে দেওয়া","লাগিয়ে দেওয়া","to stick on', 'to paste up', 'to affix","","धुन पकड़ना","To become obsessed with an idea; to stick to one thing stubbornly.","to stick or affix something","HIGH","bagdhara","False"
"826","এঁটে যাওয়া","সঙ্কুলান হওয়া","To get stuck in a rut', 'To become entangled","","दूध का दूध पानी का पानी हो जाना","The truth will surface; justice will be done and the facts will become clear.","To become complicated or entangled","HIGH","bagdhara","False"
"827","এঁটো-কাঁটা","ভুক্তাবশেষ; খাওয়ার পর পাতে পড়ে থাকা অবশিষ্ট খাদ্য","table scraps', 'crumbs from the table","","नौ सौ चूहे खाके बिल्ली हज को चली","To display saintly behaviour after committing many sins; a hypocrite turning pious.","remnants of a meal; leftover food scraps remaining on the plate after eating, often implying meager sustenance","HIGH","bagdhara","False"
"828","এঁটোকাঁটার বিচার","ছোঁয়াছুঁয়ির বিচার","Don't sweat the small stuff"", 'Making a mountain out of a molehill', 'Nitpicking","","आंखों में धूल झोंकना","To deceive someone; to pull wool over someone's eyes.","Nitpicking over trivial or minor details","HIGH","bagdhara","False"
"829","এঁটোখেকো","উচ্ছিষ্টভোগী; যে পাত কুড়িয়ে খায় – গালিবিশেষ","Bottom feeder', 'Scavenger', 'Eating scraps off the table","","बन्दर क्या जाने अदरक का स्वाद","Don't expect appreciation from those who have no capacity to understand value.","One who consumes leftovers; a scavenger who picks food from discarded plates – a term of special abuse","HIGH","bagdhara","False"
"830","এঁটোপাত","অতি হীনভাবে বেঁচে থাকা লোক; পরমুখাপেক্ষী; পরান্নভোজী","Living hand to mouth', 'Sponger', 'Pauper","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person living in extreme poverty and meanness; entirely dependent on others; one who subsists on others' food","HIGH","bagdhara","False"
"831","এঁড় কাটা","পুরুষত্বহীন, গালিবিশেষ","castrated', 'without balls","","जख्म पर नमक छिड़कना","To make a painful situation even worse; to add insult to injury.","lacking manhood, a form of insult","HIGH","bagdhara","False"
"832","এঁড় দেখানো","ফাঁকি দেওয়া","to pull a fast one', ""to pull the wool over someone's eyes","","आंखों में धूल झोंकना","To deceive someone; to pull wool over someone's eyes.","to cheat or deceive","HIGH","bagdhara","False"
"833","এঁড়ে","একরোখা; একগুঁয়ে","stubborn as a mule', 'pig-headed","","टस से मस न होना","To be stubborn; to refuse to change one's position.","stubborn; obstinate","HIGH","bagdhara","False"
"834","এঁড়ে গরুর দুধ","অসম্ভব বস্তু, অলীক কল্পনা, যা কখনো হয় না","when pigs fly', ""a snowball's chance in hell"", ""hen's teeth","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","An impossible thing, an unrealistic fantasy, something that never happens","HIGH","bagdhara","False"
"835","এঁড়ে গলা","কর্কশ কন্ঠস্বর; ষাড়েঁর মত বিকট কণ্ঠস্বর/চিৎকার","Voice like a foghorn', 'Braying like a donkey', 'Grating voice","","जली-कटी सुनाना","To speak harsh and bitter words; to scold someone severely.","Harsh or raspy voice; a hideous voice or scream like a donkey's bray","HIGH","bagdhara","False"
"836","এঁড়ে তর্ক","যুক্তিহীন তর্কবিতর্ক; একগুঁয়ে লোকের যুক্তিহীন তর্ক","Arguing with a brick wall', 'Beating a dead horse","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","Unreasonable argument or debate; the unreasonable argument of a stubborn person","HIGH","bagdhara","False"
"837","এঁড়ে তেল দেওয়া","চাটুবাক্যে তৃপ্ত করা; তোষামোদ করা","Buttering someone up', 'Sweet-talking","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","To satisfy or appease someone with flattering or sweet words","HIGH","bagdhara","False"
"838","এঁড়ে লাগা","মাতৃস্তন্যবঞ্চিত শিশুদের অজীর্ণরোগ","failure to thrive","","","","Indigestion ailment in infants deprived of mother's milk","HIGH","bagdhara","False"
"839","এঁড়ে লোক","একরোখা একগুঁয়ে লোক","Stubborn as a mule', 'Pigheaded","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","Stubborn and obstinate person","HIGH","bagdhara","False"
"840","এঁড়ে ষণ্ড","প্রশংসায় তেজস্বী শিষ্টশীল পুরুষ","he-man', 'bull of a man","","जोरू का गुलाम","A man who is completely dominated by his wife.","A vigorous, well-mannered, and virtuous man","HIGH","bagdhara","False"
"841","এঁদো","বৃক্ষলতাদিচ্ছন্ন; অন্ধকারময়; আলো ঢোকে না এমন","dark and dingy', 'overgrown and shadowy","","ईंट का जबाब पत्थर से देना","An eye for an eye; to retaliate with full force; to give a fitting reply.","Overgrown with trees and creepers; full of darkness; such that light does not enter","HIGH","bagdhara","False"
"842","এওতা","অপ্রাসঙ্গিক কথা; নানা বিষয় বা প্রসঙ্গ; যা তা ব্যাপার","this and that', 'odds and ends', 'beating around the bush","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","Irrelevant or miscellaneous talk; various topics or matters; this and that","HIGH","bagdhara","False"
"843","এ-ও-সে","একথা-সেকথা; এটা সেটা, ছোটখাটো বিষয়; নগণ্য ব্যক্তি","This and that', 'Bits and pieces', 'Small fry","","चींटी के पर निकलना","For an insignificant person to become arrogant when they gain a little power.","This and that; trivial matters; insignificant person","HIGH","bagdhara","False"
"844","এক আঁচড়ে বোঝা","একটুখানি দেখে সব বুঝে ফেলা; সামান্য পরীক্ষায় বা পরিচয়ে কারো চরিত্র বা কোনো কিছুর প্রকৃতি চিনে ফেলা","To size someone up', 'To get the measure of something at a glance', 'To read someone like a book","","बन्दर क्या जाने अदरक का स्वाद","Don't expect appreciation from those who have no capacity to understand value.","To understand everything from a mere glimpse; to recognize someone's character or the true nature of something from a slight test or brief acquaintance","HIGH","bagdhara","False"
"845","এক আকাশে দুই সূর্য","দুই প্রবল প্রতিদ্বন্দ্বীর সহ-অবস্থান, যা সম্ভব নয়","Two tigers cannot live on the same mountain', ""Can't have two suns in the same sky","","एक म्यान में दो तलवारें नहीं रह सकतीं","Two powerful rivals cannot coexist peacefully.","The coexistence of two powerful rivals, which is impossible","HIGH","bagdhara","False"
"846","এক আঙুলে তুড়ি লাগে না","দ্বন্দ্বে দু’পক্ষ অবশ্যই থাকা প্রয়োজন","It takes two to tango', ""You can't clap with one hand","","कहाँ राजा भोज कहाँ गंगू तेली","There is no comparison between two completely different entities.","In a conflict, there must necessarily be two parties","HIGH","bagdhara","False"
"847","এক আধটা","খুব অল্পসংখ্যক; একটা বা বড়জোর দুটো","One or two', 'A couple', 'Just a handful","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Very few in number; one or at most two","HIGH","bagdhara","False"
"848","এক আধটু","খুব অল্প পরিমাণ; কিঞ্চিৎ; বেশি নয়; মোটামুটি রকম","a tad', 'now and then', 'a smidgen","","नमक मिर्च लगाना","To exaggerate a small matter; to embellish a story to make it more dramatic.","a very small amount; a little; not much; more or less","HIGH","bagdhara","False"
"849","এক আধদিন","অনিয়মিত; অনির্দিষ্ট সময়; কদাচিৎ","once in a while', 'every now and then', 'from time to time","","","","irregularly; at indefinite times; occasionally","HIGH","bagdhara","False"
"850","এক আর একে এগারো হয়","সংগঠনে শক্তি বাড়ে","Unity is strength', 'Two heads are better than one', 'In union there is strength","","लोहा लेना","To confront or compete with someone; to measure one's strength against another.","Unity increases strength","HIGH","bagdhara","False"
"851","একেক","অনিয়মিত কোন-কোন অর্থে দ্বিত্বশব্দ","every now and then', 'from time to time","","","","Irregularly or occasionally; a reduplicative form indicating intermittency","HIGH","bagdhara","False"
"852","এক-এক","পরপর, পর্যায়ক্রম অর্থে দ্বিত্বশব্দ","one by one', 'one after the other","","नौ सौ चूहे खाके बिल्ली हज को चली","To display saintly behaviour after committing many sins; a hypocrite turning pious.","one after another, in sequence or successively","HIGH","bagdhara","False"
"853","এক ওয়াকিফহাল সাত নবিসিন্দা","একজন পারদর্শী সাতজন শিক্ষানবিশীর সমান","One seasoned professional is worth seven rookies","","","","One expert is equivalent to seven novices","HIGH","bagdhara","False"
"854","এক কড়া বুদ্ধি নেই চার কড়ার মেজাজ","অবোধের হম্বিতম্বি বেশি","All hat and no cattle', 'Empty vessels make the most noise', 'Big talker with little substance","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Excessive arrogance or bluster stemming from ignorance","HIGH","bagdhara","False"
"855","এককড়া","তুচ্ছ/সামান্য পরিমাণ","a pittance', 'a drop in the bucket', 'not a jot","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","trivial or minimal amount","HIGH","bagdhara","False"
"856","এককড়াই দুধে একফোঁটা চোনা","একটু দোষে সবগুণ নষ্ট","One rotten apple spoils the whole barrel', 'A drop of poison spoils the entire pot","","अम्बर के तारे गिनना","To stay awake all night; unable to sleep.","A single fault spoils all the virtues","HIGH","bagdhara","False"
"857","এককথা","অপরিবর্তনীয় কথা","A man of his word', ""True to one's word","","कान पकड़ना","To promise not to repeat a mistake.","An irrevocable word or promise","HIGH","bagdhara","False"
"858","এককথায়","দ্বিধাহীন চিত্তে","without a second thought', 'at once","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","without hesitation","HIGH","bagdhara","False"
"859","এককথায় দু'কথায়","আলাপ-আলোচনায়","time flies in chat', 'lost in conversation","","","","in conversation or discussion","HIGH","bagdhara","False"
"860","এককথার মানুষ","কথারাখে বা কথার নড়চড় হয় না এমন","A man of his word', ""True to one's word","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who keeps their word or whose promise does not waver","HIGH","bagdhara","False"
"861","এক করা","মিলিত করা","Unite', 'Bring together', 'Forge unity","","होश ठिकाने लगाना","To make someone realize the error of their ways; to bring someone back to their senses.","To unite or bring together","HIGH","bagdhara","False"
"862","এককলম লিখে দেওয়া","স্বীয় বক্তব্য অন্যথা হবে না- এই নিশ্চিত বিষয়ক উক্তি","Put it in black and white', 'Sign on the dotted line', 'Set in stone","","न नौ मन तेल होगा, न राधा नाचेगी","An event will not occur because the prerequisite conditions will not be fulfilled.","A firm statement ensuring one's words will not be altered; a definitive commitment in writing","HIGH","bagdhara","False"
"863","এককলমী","সংবাদপত্রে একটিমাত্র কলম লেখেন এমন ব্যক্তি","one-trick pony (in writing)', 'part-time columnist","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who writes only one column in a newspaper","HIGH","bagdhara","False"
"864","এককলসী","প্রচুর পরিমাণে জলীয় পদার্থ","A drop in the bucket', 'Gallons of tears","","पाँचों उँगलियाँ घी में होना","To be very prosperous; to enjoy abundant wealth and good fortune.","An abundant quantity of liquid substance","HIGH","bagdhara","False"
"865","এককলসী দুধে একফোঁটা চোনা","একদোষে সবগুণ নষ্ট; এমন উৎকট মন্দ জিনিস যার অত্যল্প পরিমাণ প্রচুর ভালো জিনিস নষ্ট করতে পারে","One bad apple spoils the whole barrel', 'A fly in the ointment","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","One fault spoils all virtues; a highly malicious thing whose tiny amount can ruin a large quantity of good things","HIGH","bagdhara","False"
"866","এক কলসী দুধে এক ফোঁটা চোনা","সব ভালো আচরণ করে একটু কু-ব্যবহারে নিন্দার্হ; সুসম্পন্ন কাজের শেষরক্ষা না হওয়া","One bad apple spoils the whole bunch', 'A single drop spoils the entire pot","","नौ सौ चूहे खाके बिल्ली हज को चली","To display saintly behaviour after committing many sins; a hypocrite turning pious.","Deserving criticism for a slight misbehavior after consistent good conduct; failing to preserve the culmination of a well-executed task","HIGH","bagdhara","False"
"867","এককলসীর জল","একগোষ্ঠীভূক্ত; একই গুণের গুণী; সমগোত্রীয়","Birds of a feather', 'Two peas in a pod', 'Chips off the old block","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Belonging to the same group; people sharing the same qualities; of the same lineage","HIGH","bagdhara","False"
"868","এককাঁড়ি","প্রচুর; বহুলপরিমাণ","a ton of', 'loads of', 'a heap of","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","abundant; in large quantities","HIGH","bagdhara","False"
"869","এক কাজের কাজি","প্রশংসার্থে সমব্যবসায়ী; সমান কার্যকারী","birds of a feather', 'kindred spirit in trade","","सांप-छछूंदर की हालत होना","To be in a terrible dilemma; caught between two equally unpleasant options.","In praise: a partner in the same business; equally effective or capable","HIGH","bagdhara","False"
"870","এককাট্টা","এক উদ্দেশ্য সাধনে যুক্তিতে একতাবদ্ধ; দলবদ্ধ; সংঘবদ্ধ","Band together', 'United front', 'In cahoots","","खाक छानना","To wander around aimlessly without any purpose or direction.","United for a common purpose or reason; bound together as a group; organized collectively","HIGH","bagdhara","False"
"871","এককাঠি বাজে না","নিজের সাথে লড়াই হয় না; লড়াইয়ে দুইপক্ষ লাগে","It takes two to tango', ""You can't quarrel alone","","कहाँ राजा भोज कहाँ गंगू तेली","There is no comparison between two completely different entities.","There is no fight with oneself; a fight requires two parties","HIGH","bagdhara","False"
"872","এককাঠি সরেস","নিন্দার্থে- অন্যের তুলনায় একটু বেশি বদ","a cut below', 'one of the worst","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","Derogatorily - a little worse or more bad compared to others","HIGH","bagdhara","False"
"873","এককান","একজনের কাছে জেনে সবার কাছে ছড়িয়ে পড়া","The walls have ears', 'Word gets around","","राख में दबा कोयला","A person who appears harmless but is dangerous inside.","Something known to one person but has spread to everyone","HIGH","bagdhara","False"
"874","এককানে শোনা আর এক কানে বের করা","অবহেলা বা অগ্রাহ্য করা","In one ear and out the other","","बन्दर क्या जाने अदरक का स्वाद","Don't expect appreciation from those who have no capacity to understand value.","To disregard or pay no heed to something","HIGH","bagdhara","False"
"875","এক কানে শোনা আর এক কানে বের করা","অমনোযোগী হওয়া; কান না দেওয়া","In one ear and out the other","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","To be inattentive; to not pay attention","HIGH","bagdhara","False"
"876","এক কাপড়ে বেরিয়ে পড়া","পরিধেয়বস্ত্র ছাড়া আর সব জিনিস রেখে যাত্রা করা","Travel light', ""Leave with nothing but the shirt on one's back","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","To set out on a journey leaving everything behind except the clothes one is wearing","HIGH","bagdhara","False"
"877","এককালীন","একবারের মত","One-off', 'One-time deal","","अम्बर के तारे गिनना","To stay awake all night; unable to sleep.","Once and for all or for one time only","HIGH","bagdhara","False"
"878","এককালে","কোন একসময়ে","Once upon a time', 'In the old days', 'Back in the day","","गड़े मुरदे उखाड़ना","To bring up past issues that are long forgotten.","At one time or in the past","HIGH","bagdhara","False"
"879","এক-কে একুশ করা","সামান্য জিনিসকে অযথা বাড়ানো","Make a mountain out of a molehill', 'Blow something out of proportion","","बाल की खाल निकालना","To split hairs; to make unnecessarily fine distinctions or find trivial faults.","To exaggerate a trivial matter unnecessarily","HIGH","bagdhara","False"
"880","একক্ষুরে মাথা কামানো","একগোত্রীয়; একগোষ্ঠীভূক্ত; সবাই একমত; সমপ্রকৃতিসম্পন্ন","cut from the same cloth', 'birds of a feather', 'of one mind","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Of the same lineage or clan; belonging to the same group; everyone in agreement; of similar nature","HIGH","bagdhara","False"
"881","এককুয়োর ব্যাঙ","একগোষ্ঠীভূক্ত, একই গুণের গুণী, সমগোত্রীয়","Birds of a feather', 'Chips off the old block', 'From the same mold","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Belonging to the same group or clan, sharing identical qualities or characteristics","HIGH","bagdhara","False"
"882","এক খাই আর এক থিতাই","অতি সতর্ক লোক","Better safe than sorry', 'Look before you leap","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","An extremely cautious person","HIGH","bagdhara","False"
"883","এক খাই আর এক চাটাই","অভিষ্টবস্তু পাওয়ার পর পুনরায় সেটা পাওয়ার চেষ্টা করা","Bite off more than one can chew', 'The grass is always greener on the other side","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","Attempting to obtain the desired object again after already having it, implying insatiable greed","HIGH","bagdhara","False"
"884","একখানা","একখণ্ড/টুকরা","a piece of advice', 'straight talk","","","","A piece or fragment (used figuratively for a straightforward statement)","HIGH","bagdhara","False"
"885","একখাপে দুই তরোয়াল","দুই প্রবলশক্তির পাশাপাশি থাকা, যা সম্ভব নয়","One mountain cannot hold two tigers', 'Two suns cannot shine in the same sky","","एक म्यान में दो तलवारें नहीं रह सकतीं","Two powerful rivals cannot coexist peacefully.","The coexistence of two powerful forces side by side, which is impossible","HIGH","bagdhara","False"
"886","একগঙ্গা","ব্যঙ্গার্থে প্রচুর বহুপরিমাণ","a ton of', 'rivers of something","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","sarcastically, in large quantities or abundantly","HIGH","bagdhara","False"
"887","একগলা","গলাপর্যন্ত ডোবে এমন; গলা-প্রমাণ","neck-deep', ""up to one's neck","","आग लगाना","To stir up trouble; to create chaos or instigate conflict.","up to the neck; neck-deep","HIGH","bagdhara","False"
"888","একগা","সর্বাঙ্গভর্তি","decked out', 'dressed to the nines","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","fully adorned from head to toe","HIGH","bagdhara","False"
"889","একগাঙের চিল","একগোষ্ঠীভুক্ত; সমগোত্রীয়","Birds of a feather', 'Chips off the old block', 'From the same mold","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Belonging to the same group or flock; of the same lineage or clan","HIGH","bagdhara","False"
"890","একগাছি","লম্বা ও সরু কোনকিছু","thin as a rail', ""not a hair's breadth","","गड़े मुरदे उखाड़ना","To bring up past issues that are long forgotten.","something long and thin","HIGH","bagdhara","False"
"891","একগাদা","প্রচুর পরিমাণ; রাশিরাশি; স্তুপিকৃত","a heap of', 'a pile of', 'loads of","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","a large quantity; in heaps; piled up","HIGH","bagdhara","False"
"892","একগাল","গালভরা","ear-to-ear grin', 'big smile","","","","a broad or cheek-filling smile","HIGH","bagdhara","False"
"893","একগাল মাছি","চরম বিস্ময় বা শক লাগা, যাতে কথা বলতে অক্ষম হয়ে পড়া","Cat got your tongue?', 'Speechless with shock","","दिन में तारे दिखना","To be shocked or stunned; to experience extreme distress or bewilderment.","To be utterly shocked or surprised, rendering one speechless","HIGH","bagdhara","False"
"894","একগাল ভাত","মুখভর্তি ভাত","A bite to eat', 'Just enough to fill the mouth","","","","A mouthful of rice","HIGH","bagdhara","False"
"895","একগাল হাসি","গালভরা হাসি","grin from ear to ear', 'beam with joy","","","","a broad or hearty smile","HIGH","bagdhara","False"
"896","একগুঁয়ে","অবাধ্য; একদিকে গোঁ যার; জেদী; দুর্দমনীয়; যে বাধানিষেধ মানে না","stubborn as a mule', 'pig-headed', ""set in one's ways","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Obstinate; stubborn in one direction; headstrong; uncontrollable; one who does not heed restrictions","HIGH","bagdhara","False"
"897","একগুরুর শিষ্য","একস্বভাববিশিষ্ট লোক","Birds of a feather', 'Like-minded individuals","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","People of the same temperament or nature","HIGH","bagdhara","False"
"898","এক গুরুর শিষ্য","বিদ্রুপে সমান দুষ্টপ্রকৃতির লোক","Birds of a feather flock together', 'Cut from the same cloth","","सांप-छछूंदर की हालत होना","To be in a terrible dilemma; caught between two equally unpleasant options.","In sarcasm, people of equally mischievous or naughty nature","HIGH","bagdhara","False"
"899","একগেলাসের ইয়ার","ব্যঙ্গাত্মকভাবে অন্তরঙ্গ বা ঘনিষ্ঠ বন্ধু","Fair-weather friend', 'Drinking buddy","","गोद में खेलना","To be extremely close and intimate with someone.","Sarcastically, an intimate or close friend (implying a superficial friendship, like a drinking buddy)","HIGH","bagdhara","False"
"900","একগোছা","একআঁটি; গণনাযোগ্য বা ধারণযোগ্য কিছু বস্তুরসমষ্টি","A bunch', 'A handful', 'A cluster","","सीधी उँगली से घी न निकलना","Some tasks require force or cunning; you can't get things done by gentle means alone.","A handful; a countable or conceivable aggregate of some objects","HIGH","bagdhara","False"
"901","একগোয়ালের গরু","একদলভুক্ত; একই গুণের গুণী; সমগোত্রীয়; সমান আচরণ বিশিষ্ট লোক","Birds of a feather flock together', 'Two peas in a pod', 'Chips off the old block","","अंधों में काना राजा","A person with limited ability appears impressive among those with even less ability.","Member of the same group; person of the same qualities; from the same clan; individual with similar behavior","HIGH","bagdhara","False"
"902","এক গোয়ালের গরু","ব্যঙ্গে এক দুষ্টদলের লোক; সমান বদ-আচরণবিশিষ্ট লোক","birds of a feather', 'two peas in a pod (for rogues)', 'cut from the same cloth","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Sarcastically, people from a mischievous group; individuals with similar bad behavior","HIGH","bagdhara","False"
"903","একঘর","ঘরভর্তি","full house', 'houseful","","ईंट का जबाब पत्थर से देना","An eye for an eye; to retaliate with full force; to give a fitting reply.","full house","HIGH","bagdhara","False"
"904","একঘরিয়া","জাতিচ্যুত; সমাজচ্যুত","social pariah', 'outcast","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Excommunicated from caste; ostracized from society","HIGH","bagdhara","False"
"905","একঘাটে জল খাওয়া","সহাবস্থান করা","The lion shall lie down with the lamb', 'Live under the same roof","","खिचड़ी पकाना","To make a secret plan; to conspire or scheme together privately.","To coexist or live together peacefully","HIGH","bagdhara","False"
"906","একঘাটের জল","একই গুণসম্পন্ন, সমগোত্রীয়","Birds of a feather', 'Cut from the same cloth', 'Chips off the old block","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Of the same quality or characteristics; from the same lineage or kin","HIGH","bagdhara","False"
"907","একঘেয়ে","নতুনত্ববর্জিত, বিরক্তিকর, বৈচিত্রহীন, সবসময় একরকম","Same old, same old', 'Monotonous routine', 'Ho-hum","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Lacking novelty, annoying, without variety, always the same","HIGH","bagdhara","False"
"908","একচক্ষু","একচোখ কানা","blind in one eye","","","","one-eyed (blind in one eye)","HIGH","bagdhara","False"
"909","একচক্ষু হরিণ","অপরিণামদর্শী; একদেশদর্শী; পক্ষপাতদুষ্ট","tunnel vision', 'biased perspective","","","","lacking foresight; one-sided in view; biased and faulty","HIGH","bagdhara","False"
"910","একচিত্ত","অনন্যচিত্ত; এক বিষয়ে নিবিষ্টমনা, একাগ্রচিত্ত","single-minded', 'one-track mind', 'focused","","","","Single-minded; absorbed in one thing, focused mind","HIGH","bagdhara","False"
"911","একচিমটি নুন দিয়ে গ্রহণ করা","সম্পূর্ণ বিশ্বাস না করা; চোখ বুজে মেনে না নেওয়া","take with a grain of salt","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","Not to believe completely; not to accept blindly","HIGH","bagdhara","False"
"912","একচুল","অতিসুক্ষ্ম পরিমাণ; একগাছি চুলপরিমাণ; লেশমাত্র","not a hair's breadth"", 'by a hair', 'iota', 'smidgen","","अंधों में काना राजा","A person with limited ability appears impressive among those with even less ability.","a very minute amount; not even a hair's breadth; the slightest trace","HIGH","bagdhara","False"
"913","একচেটিয়া","একায়ত্ত, সম্পূর্ণ একের অধীন","Monopoly', 'Corner the market","","ऊँगली पर नचाना","To control someone completely; to have someone under one's total influence.","Monopoly, complete control under one entity","HIGH","bagdhara","False"
"914","একচোখা","একচোখবিশিষ্ট কানা","one-eyed man', 'In the land of the blind, the one-eyed man is king","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","a one-eyed person","HIGH","bagdhara","False"
"915","একচোট","একদফায় প্রচুর; চুটিয়ে","in one fell swoop', 'all at once', 'wolf down (for eating)","","अम्बर के तारे गिनना","To stay awake all night; unable to sleep.","abundantly in one go; heartily or all at once","HIGH","bagdhara","False"
"916","একচোট বলা","মর্মে আঘাত দিয়ে বলা","Hit below the belt', 'A low blow', 'Rub salt in the wound","","पानी पानी होना","To be deeply ashamed; to feel intense embarrassment.","To say something that strikes at the core or hurts deeply","HIGH","bagdhara","False"
"917","একচ্ছত্র","একাধিপত্য; নিরঙ্কুশক্ষমতার অধিকারী","One-man rule', 'Absolute monarchy', 'Rule with an iron fist","","जिसकी लाठी उसकी भैंस","Might is right; those with power can do as they please.","Absolute rule; holder of unchecked power","HIGH","bagdhara","False"
"918","একছাতার তলে বাস","এক স্বভাবের লোক; সমগোত্রীয়; সমদোষে দুষ্ট; সবাই মন্দলোক; সবারই একই দশা","Birds of a feather flock together', 'All in the same boat', 'Chips off the old block","","अम्बर के तारे गिनना","To stay awake all night; unable to sleep.","People of the same nature; members of the same clan; mischief-makers sharing the same faults; all bad people; everyone in the same condition","HIGH","bagdhara","False"
"919","একছুটে","টানা বাধাবিরতিহীন দৌড়","at a stretch', 'in one go', 'non-stop","","चम्पत होना","To disappear suddenly; to run away without a trace.","continuous run without interruption","HIGH","bagdhara","False"
"920","একছুট","এককাপড়; শুধু ধুতি; উত্তরীয়বিহীন অবস্থা","half-dressed', 'in a hurry and disheveled","","भाड़े का जिन्न","Someone who works only for money, without loyalty.","Wearing only one piece of cloth; just a dhoti; state without an upper garment","HIGH","bagdhara","False"
"921","একজন","অনির্দিষ্ট একব্যক্তি","Someone', 'A certain person","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","An unspecified or indefinite person","HIGH","bagdhara","False"
"922","একজন না একজন","অন্তত একজনও","One way or another', 'Someone or other","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","At least one person or someone inevitably","HIGH","bagdhara","False"
"923","একজন হয়ে উঠা","গণ্যমান্য লোক হওয়া","To make a name for oneself', 'To become somebody', 'To rise to prominence","","चींटी के पर निकलना","For an insignificant person to become arrogant when they gain a little power.","To become a respectable or notable person","HIGH","bagdhara","False"
"924","এক জলাশয়ের মাছ","একগোষ্ঠীভুক্ত; একসম্পন্ন; একদলের লোক","Birds of a feather', 'Two peas in a pod', 'From the same mold","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Belonging to the same group; from the same community; people from the same clique","HIGH","bagdhara","False"
