id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
6075,ধারে ডোবা,ধারে (ঋণে) ডোবা (ডুবে যাওয়া),প্রচুর দেনায় জড়িয়ে পড়া,To get deeply entangled in heavy debt,"['Drowning in debt', 'In deep water financially']",Drowning in debt; In deep water financially,"['ব্যবসায়িক ক্ষতির কারণে সে ধারে ডোবা হয়ে গেছে।', 'পুরনো ঋণের চাপে তার পরিবার ধারে ডোবা অবস্থায় পড়েছে।']",bagdhara
6076,ধাষ্টামি,ধৃষ্টতার প্রকাশ বা অবস্থা (impudent behavior or state),"ধৃষ্টতা, স্পর্ধা, নির্লজ্জ আচরণ","impudence, arrogance, shameless behavior","['cheek', 'gall', 'audacity']",cheek; gall; audacity,"['তোমার এই ধাষ্টামি সহ্য করা যায় না।', 'সে তার ধাষ্টামির জন্য সবাইকে বিরক্ত করে।']",bagdhara
6077,ধিকিধিকি,মৃদু জ্বলন বা ঝিকমিক করার শব্দানুকরণ,মৃদু জ্বলনের ভাব,"A mild flickering or burning sensation, often indicating inner emotional agitation or suppressed feelings","['smoldering anger', 'burning inside', 'heart on fire']",smoldering anger; burning inside; heart on fire,"['তার মনে ধিকিধিকি জ্বলছে, কিন্তু সে কিছু বলছে না।', 'এই খবর শুনে আমার বুকে ধিকিধিকি করতে লাগল।']",bagdhara
6078,ধিঙ্গি,ছোট নৌকা (একপ্রকার ছোট নৌকা),"প্রগল্ভ, বেহায়া","bold, shameless","['bold as brass', 'shameless hussy']",bold as brass; shameless hussy,"['সে একটা ধিঙ্গি মেয়ে, কিছুতেই লজ্জা করে না।', 'ধিঙ্গি ছেলেরা রাস্তায় হইহুল্লোড় করছে।']",bagdhara
6079,ধিঙ্গিপনা,ধিঙ্গি (বেহায়া মেয়ে) এর উদ্দাম নাচের ভাব,বেহায়া মেয়ের উদ্দাম নাচ,"The wild, unrestrained dance of a shameless girl","['wild abandon', ""letting one's hair down shamelessly""]",wild abandon; letting one's hair down shamelessly,"['তার ধিঙ্গিপনা দেখে সবাই অবাক হয়ে গেল।', 'পার্টিতে তার ধিঙ্গিপনা চোখে পড়ল।']",bagdhara
6080,ধিন-তা-ধিনা,নাচের তাল বা লাফানোর শব্দানুকরণ (onomatopoeic sounds of rhythmic dancing or jumping),"নাচনকোদন, লম্পঝম্প","dancing and jumping around, frolicking noisily","['cutting a rug', 'dancing up a storm', 'hopping about']",cutting a rug; dancing up a storm; hopping about,"['বাচ্চারা উঠোনে ধিন-তা-ধিনা করে খেলছে।', 'পার্টিতে সবাই ধিন-তা-ধিনা করে নাচতে শুরু করল।']",bagdhara
6081,ধিনধিন,নাচের শব্দানুকরণ (ধিন-ধিন শব্দের অনুকরণ),"নাচের ভঙ্গী, নেচে বেড়ানো","dancing style or posture, prancing or frolicking about","['prance about', 'dance around']",prance about; dance around,"['ধিঙ্গী মেয়েটি ধিনধিন করে নাচতে নাচতে ঘুরে বেড়াচ্ছে।', 'বাচ্চারা উৎসবে ধিনধিন করে খেলছে।']",bagdhara
6082,ধিনিকেষ্ট,ধিনধিন শব্দ করে কেষ্ট (নাচানাচি) করা,ধিনধিন করে নেচে বেড়ায় এমন দায়িত্বজ্ঞানহীন ফুর্তিবাজ লোক,"An irresponsible, carefree person who frolics around mockingly, dancing with playful or derisive sounds","['footloose and fancy-free', 'wild child']",footloose and fancy-free; wild child,"['সে একটা ধিনিকেষ্ট, কখনো কাজ করে না শুধু ফুর্তি করে।', 'পাড়ায় সবাই ওকে ধিনিকেষ্ট বলে ডাকে কারণ সে সবসময় বিদ্রুপ করে নাচে।']",bagdhara
6083,ধীরে সুস্থে,ধীরে (স্লোলি) সুস্থে (কমফর্টেবলি বা স্বাস্থ্যকরভাবে),আস্তে আস্তে; তাড়াহুড়ো না করে,Slowly and steadily; without haste or rush,"['slow and steady', 'take it easy', 'haste makes waste']",slow and steady; take it easy; haste makes waste,"['কাজটা ধীরে সুস্থে করে নাও, তাড়াহুড়ো করলে ভুল হবে।', 'জীবনের সিদ্ধান্তগুলো ধীরে সুস্থে নেওয়া উচিত।']",bagdhara
6084,ধুকপুক,হালকা ধুকধুক শব্দ (হৃদস্পন্দনের অনুকরণমূলক শব্দ),মৃদু হৃদস্পন্দন,mild heartbeat or palpitation,"['heart pounding', 'butterflies in the stomach']",heart pounding; butterflies in the stomach,"['পরীক্ষার হলে প্রবেশ করার সময় তার বুক ধুকপুক করছিল।', 'সে অপেক্ষা করতে করতে ধুকপুক করে উঠল।']",bagdhara
6085,ধুকধুকানি,হৃদপিণ্ডের দ্রুত ধুকধুকানি শব্দ (অনুকরণমূলক),"অস্থিরতা, মানসিক উদবেগ","Restlessness, mental anxiety","['Heart pounding', 'Butterflies in the stomach', 'On pins and needles']",Heart pounding; Butterflies in the stomach; On pins and needles,"['পরীক্ষার ফলাফল জানার জন্য তার বুকে ধুকধুকানি শুরু হয়েছে।', 'সাক্ষাৎকারের আগে অফিসে বসে ধুকধুকানি করছিলাম।']",bagdhara
6086,ধুত্তোর,ঝাড়া দেওয়া বা ঝেড়ে ফেলার শব্দধ্বনি (অনুকরণমূলক শব্দ),"তোর সংশ্রবজনিত ঝঞ্ঝাট দূর হোক, বিরক্তিসূচক অভিব্যক্তি","May your self-inflicted troubles be dispelled, an expression of irritation or dismissal","['Pish posh!', 'Nonsense!', 'Get lost!']",Pish posh!; Nonsense!; Get lost!,"['ধুত্তোরি কি যে হচ্ছে কিছু বুঝছি না।', 'ধুত্তোর, এসব কথা ছেড়ে দাও।']",bagdhara
6087,ধু ধু,অনুকরণমূলক শব্দ যা বিশাল শূন্যতা বা বায়ুর শব্দ বোঝায়,বিশাল ব্যাপ্তির অভিব্যক্তি,An expression denoting vast expanse or desolation,"['vast expanse', 'barren wasteland', 'middle of nowhere']",vast expanse; barren wasteland; middle of nowhere,"['সেই মরুভূমিতে ধু ধু করে শুধু বালি ছড়ানো।', 'গ্রামের চারপাশে ধু ধু খেত।']",bagdhara
6088,ধুনা,ধনুকাকৃতি যন্ত্র দিয়ে তুলো পিঁজে পরিষ্কার করা,"ধমক দেওয়া, শায়েস্তা করা","to scold severely, to reprimand or thrash","['give someone a dressing down', 'beat the daylights out of someone']",give someone a dressing down; beat the daylights out of someone,"['আজ তোকে ভালো করে ধুনে দেব।', 'সে তার ছেলেকে ধুনিয়ে শায়েস্তা করল।']",bagdhara
6089,ধুনি,সন্ন্যাসীর অগ্নিকুণ্ড,আশায় আশায় অপেক্ষারত,waiting in hopeful anticipation,"['keeping the home fires burning', 'holding out hope']",keeping the home fires burning; holding out hope,"['সে ধুনি জ্বালিয়ে বসে আছে, চাকরির খবরের অপেক্ষায়।', 'পরীক্ষার ফলাফলের জন্য ধুনি জ্বালানোর মতো অপেক্ষা করছি।']",bagdhara
6090,ধুন্ধুমারকাণ্ড,পুরাণে বর্ণিত অসুর ধুন্ধুমারের কাণ্ড,"উৎস-পুরাণে বর্ণিত অসুর; তুলকালাম কাণ্ড, প্রচণ্ড গোলমাল","The demon Dhundhumara described in ancient Puranas; unprecedented chaos, tremendous uproar","['all hell broke loose', 'pandemonium', 'mayhem']",all hell broke loose; pandemonium; mayhem,"['সভায় ধুন্ধুমারকাণ্ড চলছে, কেউ শান্তি দিতে পারছে না।', 'রাস্তায় ধুন্ধুমারকাণ্ড হয়ে গেছে, পুলিশ নিয়ন্ত্রণ করতে ব্যস্ত।']",bagdhara
6091,ধুমধাড়াক্কা,উচ্চস্বরের ধ্বনি এবং শোরগোলের অনুকরণ (যেমন ঢাক-ঢোল বা আতশবাজির শব্দ),প্রচুর আড়ম্বর/জাঁকজমক/শোরগোল,"Excessive pomp, grandeur, or hullabaloo","['with great fanfare', 'much ado', 'big to-do']",with great fanfare; much ado; big to-do,"['কালীপূজার সময় গ্রামে ধুমধাড়াক্কা চলে।', 'বিয়ের অনুষ্ঠানে প্রচুর ধুমধাড়াক্কা হয়েছে।']",bagdhara
6093,ধুমধাম,with smoke and drum-like noise (onomatopoeic for fanfare),"জাঁকজমক, সমারোহ","pomp and grandeur, splendor and ceremony","['with great fanfare', 'in grand style', 'with bells and whistles']",with great fanfare; in grand style; with bells and whistles,"['ধুমধাম করে বিয়ের অনুষ্ঠান সম্পন্ন হলো।', 'তাদের পূজা ধুমধামে পালিত হয়েছে।']",bagdhara
6094,ধুমসা,ধোঁয়াটে বা কালো ময়লা-ঢাকা,কালো মোটাসোটা লোক,"a black, fat, sooty person","['soot-covered slob', 'greasy and unkempt']",soot-covered slob; greasy and unkempt,"['সে তো একটা ধুমসা, কখনো স্নান করে না।', 'গ্রামের সেই ধুমসা লোকটাকে দেখে সবাই হাসে।']",bagdhara
6095,ধুমসি,ধোঁয়াটে বা কালো-কালো ধোঁয়ার মতো (ধুমসি: ধোঁয়া-সদৃশ),নিন্দায়- বেমানান রকমের কালো ও মোটা মেয়ে,"Derogatorily, an unusually dark and plump girl","['plain Jane', 'homely girl']",plain Jane; homely girl,"['ধুমসি মেয়ের কাণ্ড দেখো, কী অদ্ভুত আচরণ করছে!', 'সে ধুমসির মতো দেখতে, কিন্তু খুব চালাক।']",bagdhara
6096,ধূম্রলোচন,ধোঁয়াটে চোখ,কালো ও কুৎসিত মোটাসোটা লোক,"A dark, ugly, and fat person",[],,"['সেই ধূম্রলোচনের মতো লোকটি গ্রামে এসে সবাইকে ভয় দেখাল।', 'ওর চেহারা দেখলে মনে হয় ধূম্রলোচনের ছায়া।']",bagdhara
6097,ধুয়া তোলা,ধোঁয়া তোলা (to raise smoke),"ছল করা, এক কথা বার বার বলা",To deceive or create confusion by repeating the same thing,"['Create a smokescreen', 'Beat around the bush']",Create a smokescreen; Beat around the bush,"['সে ধুয়া তুলে সত্যটা লুকিয়ে রাখল।', 'রাজনীতিবিদরা ভোটারদের ধুয়া তুলে মিথ্যা প্রতিশ্রুতি দিচ্ছে।']",bagdhara
6098,ধুরন্ধর,ভারবাহক,"অতি কর্মকুশল, ওস্তাদ, দক্ষ; চতুর, ধড়িবাজ, ধূর্ত, বখাটে","Extremely skilled, master, expert; cunning, sly, rogue, mischievous","['shrewd operator', 'crafty fellow', 'old hand']",shrewd operator; crafty fellow; old hand,"['সে একজন ধুরন্ধর ব্যবসায়ী, সবসময় লাভ করে।', 'গ্রামের ধুরন্ধর কারিগরটি তার কাজে অতুলনীয় দক্ষতা দেখায়।']",bagdhara
6099,ধুলো দেওয়া (গায়ে),গায়ে ধুলো ঝাড়া বা দেওয়া,ঘৃণা প্রকাশ করা,To express disgust or contempt,"[""Shake the dust off one's feet"", 'Brush off disdainfully']",Shake the dust off one's feet; Brush off disdainfully,"['সে তার বাড়ি থেকে ফিরে এসে গায়ে ধুলো দিয়ে ঘৃণা প্রকাশ করল।', 'বাজার থেকে ফিরে ধুলো দিয়ে তার অসন্তোষ দেখাল।']",bagdhara
6100,চোখে ধুলো দেওয়া,চোখে ধুলো দেওয়া (eyes in dust to give),ফাঁকি দেওয়া,to deceive or cheat someone,"[""throw dust in one's eyes"", ""pull the wool over one's eyes""]",throw dust in one's eyes; pull the wool over one's eyes,"['সে আমার চোখে ধুলো দিয়ে ব্যবসায়ের লোকসান লুকিয়ে রেখেছে।', 'তুমি কখনো আমার চোখে ধুলো দিতে পারবে না।']",bagdhara
6101,ধুলোমুঠি ধরলে সোনামুঠি,ধুলোর মুঠো ধরলে সোনার মুঠো হয়ে যায়,ভাগ্য সুপ্রসন্ন হলে স্বল্পচেষ্টাতেই সাফল্য আসে,"When fortune is favorable, success comes with minimal effort","['Strike it lucky', 'When fortune smiles, everything turns to gold']","Strike it lucky; When fortune smiles, everything turns to gold","['ধুলোমুঠি ধরলে সোনামুঠি, সেই ছেলেটি একটা ছোট বিনিয়োগে লক্ষাধিক টাকা লাভ করল।', 'জীবনে ধুলোমুঠি ধরলে সোনামুঠি হয়েছে, কিন্তু এখন সবকিছু কঠিন লাগছে।']",bagdhara
6102,ধূনা দেওয়া,আগুনে ইন্ধন বা কাঠকুটো যোগ করা,উত্তেজনা ছড়ানো,to spread agitation or excitement; to incite or escalate a situation,"['add fuel to the fire', 'pour oil on troubled waters (opposite)']",add fuel to the fire; pour oil on troubled waters (opposite),"['তার কথায় বিতর্কে আগুনে ধূনা দেওয়া হয়ে গেল।', 'সমস্যা আরও বাড়ানোর জন্য তিনি ধূনা দিলেন।']",bagdhara
6103,ধূমকেতু,ধূমকেতু (comet),"অশুভলক্ষণ, উৎপাত, কুগ্রহ, হঠাৎ এসে উপস্থিত ব্যক্তি","an ill omen, mischief or disturbance, a malefic planet, a person who suddenly appears and causes trouble","['ill omen', 'bolt from the blue', 'harbinger of doom']",ill omen; bolt from the blue; harbinger of doom,"['গ্রামে ধূমকেতুর মতো অকস্মাৎ একটা উপদ্রব শুরু হয়ে গেল।', 'সে ধূমকেতুর মতো হঠাৎ এসে সবাইকে বিব্রত করে দিল।']",bagdhara
6104,ধূমধাম,"ধোঁয়া এবং ঢাকের শব্দ (smoke and drum beats, evoking noisy celebrations)",খুব ঘটা; মহাসমারোহ,Great pomp and show; grand ceremony with much fanfare,"['With great fanfare', 'In grand style', 'With bells and whistles']",With great fanfare; In grand style; With bells and whistles,"['ধূমধাম করে তার বাড়ির উদ্বোধন হল।', 'বিয়েটি ধূমধাম করে সম্পন্ন হয়েছে।']",bagdhara
6105,ধূমায়মান,ধোঁয়া উঠছে বা ধূমায়িত হচ্ছে (smoldering or emitting faint smoke),অল্প অল্প প্রকাশিত হচ্ছে,gradually manifesting or faintly emerging,"['smoldering anger', 'festering resentment']",smoldering anger; festering resentment,"['জনগণের মনে ক্ষোভ ধূমায়মান হতে শুরু করেছে।', 'সমস্যাটি ধীরে ধীরে ধূমায়মান হয়ে উঠছে।']",bagdhara
6106,ধূয়া,গানের শুরুর সুর বা দোহার গানের পুনরাবৃত্তিমূলক অংশ,মুখ্য অর্থ- যে সুরে গান শুরু হবে সেই সুর শুরু করা; দোহারগণ গানের যে অংশ বার বার গায়; গৌণ অর্থ- যে উক্তি বার বার করা হয়,Primary meaning: Starting a song with its introductory tune; the repeated part in doha folk songs. Secondary meaning: Repeating the same statement over and over,"['broken record', 'same old song and dance']",broken record; same old song and dance,"['গানের ধূয়া দিয়ে শুরু করো, তাহলে সবাই জুড়ে গাইবে।', 'তার বক্তৃতা একই ধূয়া, কিছুই নতুন নেই।']",bagdhara
6107,ধূয়া তোলা,ধূয়া উঠানো বা ধরা (raising or catching smoke),আবদার করা; ছল করা,To make insistent demands; to deceive or trick,"['Throw a tantrum', 'Create a smokescreen']",Throw a tantrum; Create a smokescreen,"['বাচ্চাটা যখন খেলনা না পায় তখন ধূয়া তোলে।', 'সে ছল করে ধূয়া তুলে সত্যি লুকিয়ে ফেলল।']",bagdhara
6109,ধূলাবালি,ধুলো এবং বালি,অকিঞ্চিৎকর পদার্থ,insignificant or worthless substance,"['small potatoes', 'not worth a dime']",small potatoes; not worth a dime,"['এই পুরনো বইটি এখন ধূলাবালি হয়ে গেছে।', 'তার প্রতিশ্রুতি শুধু ধূলাবালি।']",bagdhara
6110,ধূলামুষ্টি স্বর্ণমুষ্টি হওয়া,ধূলার মুঠো সোনার মুঠো হয়ে যাওয়া,যে কাজেই হাত দেওয়া হোক-না-কেন সর্বক্ষেত্রেই সাফল্য পাওয়া,"Achieving success in whatever task one undertakes, across all fields","['Have the Midas touch', 'Turn everything one touches to gold']",Have the Midas touch; Turn everything one touches to gold,"['তার ধূলামুষ্টি স্বর্ণমুষ্টি হওয়ার মতো প্রতিভা আছে, যে কাজেই হাত দিক সফল হয়।', 'ব্যবসায়ে তার ধূলামুষ্টি স্বর্ণমুষ্টি হয়েছে, প্রত্যেক উদ্যোগেই লাভবান হয়েছে।']",bagdhara
6111,ধূলিসাৎ,ধূলিতে পরিণত হওয়া (turned into dust),সম্পূর্ণ ব্যর্থ,completely failed or destroyed,"['bite the dust', 'go up in smoke', 'come to naught']",bite the dust; go up in smoke; come to naught,"['তার সকল প্রচেষ্টা ধূলিসাৎ হয়ে গেল।', 'যুদ্ধে সেনাবাহিনীর পরিকল্পনা সম্পূর্ণ ধূলিসাৎ।']",bagdhara
6112,ধেই-ধেই,উদ্দাম নাচের অনুকরণমূলক শব্দ (onomatopoeic sound for wild dancing movements),উদ্দাম নাচের ভঙ্গি,"The gesture or style of unrestrained, wild dancing","['dancing up a storm', 'cutting a rug wildly']",dancing up a storm; cutting a rug wildly,"['সে আনন্দে ধেই-ধেই করে নাচতে লাগল।', 'উৎসবে সবাই ধেই-ধেই ভঙ্গি করে নেচে উঠল।']",bagdhara
6114,ধেড়ে ইঁদুর,ধেড়ে (ন秃头 বা চালাক) ইঁদুর (চূহা),ঘাগি; পাকা শয়তান; দুষ্টচক্রের গোদা; বড়মাপের দুস্কৃতি,cunning and experienced rogue; mature devil; leader of mischief-makers; major criminal,"['sly as a fox', 'old fox', 'crafty devil']",sly as a fox; old fox; crafty devil,"['সে একটা ধেড়ে ইঁদুর, সবসময় চালাকির জাল বুনতে থাকে।', 'গাঁয়ের ধেড়ে ইঁদুরটাকে কেউ ধরতে পারে না, এতটা পাকা।']",bagdhara
6115,ধেড়ে খোকা,ধেড়ে (কিশোর বা যুবক) খোকা (ছেলে বা শিশু),বয়স বা দৈর্ঘ্যে কিশোর অপেক্ষা বেশি বয়স্ক; যুবক,Older than an adolescent in age or stature; a young man,"['strapping young lad', 'young buck']",strapping young lad; young buck,"['সে একটা ধেড়ে খোকা, এখনো পরিবারের দায়িত্ব নেয়নি।', 'গ্রামে ধেড়ে খোকারা সবাই মাঠে কাজ করে।']",bagdhara
6116,ধেড়ে রোগ,বৃদ্ধ বয়সের রোগ,জন্তুর মত বৃদ্ধবয়সে যুবকের মত সন্তান উৎপাদনের ইচ্ছা,"The desire in old age to produce offspring like a young person, similar to animals",[],,"['তার বয়স অনেক হয়েছে, কিন্তু ধেড়ে রোগে পড়ে স্ত্রীকে আরও সন্তানের জন্য চাপ দিচ্ছে।', 'গ্রামের বুড়ো মানুষটির ধেড়ে রোগ দেখে সবাই হাসাহাসি করছে।']",bagdhara
6117,ধেনো,ধান চাষের উপযোগী (rice cultivation suitable),সু অর্থে- ধান চাষ হয় এমন; কু-অর্থে ধানচাষির মতো মূর্খ,In positive sense: suitable for rice cultivation; In negative sense: foolish like a rice farmer,"['dumb as a rock (for negative sense)', 'fertile ground (for positive sense)']",dumb as a rock (for negative sense); fertile ground (for positive sense),"['এই জমিটি ধেনো, এখানে ভালো ধান উঠবে।', 'তার ধেনো বুদ্ধির জন্য সবাই হাসে।']",bagdhara
6118,ধোঁকা খাওয়া,ধোঁকা (প্রতারণা বা ছল) খাওয়া বা দেওয়া,প্রতারিত হওয়া বা প্রতারণা করা; ঠকানো বা ঠকা,To be deceived or to deceive; to cheat or be cheated,"['to be taken for a ride', ""to pull the wool over someone's eyes"", 'to be duped']",to be taken for a ride; to pull the wool over someone's eyes; to be duped,"['সে ব্যবসায়ে আমাকে ধোঁকা খাওয়ালো।', 'কখনো কাউকে ধোঁকা দেওয়া উচিত নয়।']",bagdhara
6119,ধোঁকাবাজ,ধোঁকা বিক্রেতা (deception seller),প্রতারক,Deceiver or fraudster,"['con artist', 'swindler', 'charlatan']",con artist; swindler; charlatan,"['সে একটা ধোঁকাবাজ, তার কথায় বিশ্বাস করো না।', 'ধোঁকাবাজ লোকের সাথে ব্যবসা করলে লোকসান হয়।']",bagdhara
6120,ধোঁকায় পড়া,ধোঁয়ায় পড়া বা ধোঁকার ফাঁদে পড়া,প্রতারিত হওয়া; সন্দেহ বা ভ্রমে পড়া,To be deceived or fall into doubt,"['To be taken in', 'To fall for a trick', 'To be hoodwinked']",To be taken in; To fall for a trick; To be hoodwinked,"['সে বন্ধুর কথায় ধোঁকায় পড়ে অর্থ হারালো।', 'খবরের প্রভাবে সবাই ধোঁকায় পড়ে বিভ্রান্ত হয়ে গেল।']",bagdhara
6121,ধোঁকার টাটি,ধোঁয়ার আবরণ বা ছলনাময় পর্দা,প্রতারণার আবরণ যা থেকে কিছু বোঝা যায় না; বাইরে সাজানো ভেতরে অসুবিধা,A deceptive cover that obscures understanding; outwardly attractive but inwardly troublesome,"['smoke and mirrors', 'all that glitters is not gold', ""wolf in sheep's clothing""]",smoke and mirrors; all that glitters is not gold; wolf in sheep's clothing,"['এই ব্যবসার প্রস্তাবটা ধোঁকার টাটি, ভেতরে অনেক ঝুঁকি আছে।', 'তার কথায় ধোঁকার টাটি লেগেছে, সত্যি কিছু বোঝা যাচ্ছে না।']",bagdhara
6123,ধোঁয়াটে,ধোঁয়ার মতো অস্পষ্ট বা ধোঁয়াটে,অস্পষ্টভাব,in a hazy or unclear manner,"['hazy', 'fuzzy', 'through a fog']",hazy; fuzzy; through a fog,"['সমস্ত বিষয়টা আমার কাছে ধোঁয়াটে লাগছে।', 'তার কথাগুলো ধোঁয়াটে মনে হচ্ছে।']",bagdhara
6124,ধোকড়,মাকড়সার মতো ফাঁদ বা অবশিষ্টাংশ (spider's trap or residue),"কিছু না, ফাঁকি","Nothing at all, a deception or hoax","['Much ado about nothing', 'All smoke and no fire']",Much ado about nothing; All smoke and no fire,"['এই প্রস্তাবটা তো পুরো ধোকড়, কোনো সত্যি লাভ নেই।', 'তার কথায় ধোকড় আছে, বিশ্বাস করিস না।']",bagdhara
6125,ধোপদুরস্ত,ধোপা (ধোয়া) দ্বারা দুরস্ত (পরিপাটি) করা,"বাবুয়ানি, পরিপাটি, পরিষ্কার পরিচ্ছন্ন","dapper, neat and tidy, clean and well-groomed","['dressed to the nines', 'spick and span', 'neat as a pin']",dressed to the nines; spick and span; neat as a pin,"['সে ধোপদুরস্ত হয়ে পার্টিতে গেল।', 'অফিসে ধোপদুরস্ত পোশাকে উপস্থিত হওয়া ভালো।']",bagdhara
6127,ধোপা-নাপিত বন্ধ করা,ধোপা এবং নাপিতের সেবা বন্ধ করা (to boycott the services of the washerman and barber),সমাজচ্যুত করা বা সামাজিক দণ্ড দেওয়া,To socially ostracize or impose social punishment,"['To shun someone', 'To impose a social boycott', 'To give someone the cold shoulder']",To shun someone; To impose a social boycott; To give someone the cold shoulder,"['গ্রামের লোকেরা তার অপরাধের জন্য ধোপা-নাপিত বন্ধ করেছে।', 'সমাজ থেকে বহিষ্কৃত হওয়ার জন্য তারা ধোপা-নাপিত বন্ধ করল।']",bagdhara
6128,ধোপা-ভাঁড়ারী,ধোপার ভাঁড়ারে অনেক কাপড় থাকলেও তার নিজের কোনো কাপড় নেই,ধোপার ভাঁড়ারে অনেক কাপড় অথচ তার নিজের কিছু নয়,Having access to many things but owning none of them oneself,"[""The cobbler's children have no shoes"", 'All hat and no cattle']",The cobbler's children have no shoes; All hat and no cattle,"['সে ধোপা-ভাঁড়ারীর মতো, অনেক ধন-সম্পদ দেখে কিন্তু নিজের কিছু জমায় না।', 'এই ব্যবসায়ী ধোপা-ভাঁড়ারী, লক্ষ লক্ষ টাকা হাত বুলিয়ে যায় কিন্তু নিজের পকেট খালি।']",bagdhara
6130,ধোপার গাধা,ধোয়ার জন্য কাজ করা গাধা (washerman's donkey),পরের জন্য খেটে মরা ব্যক্তি,A person who toils endlessly for others without recognition,"['Workhorse', 'Beast of burden', 'Unsung hero']",Workhorse; Beast of burden; Unsung hero,"['সে ধোপার গাধার মতো সারাদিন অন্যের জন্য খেটে যায়।', 'অফিসে সবাই উপভোগ করে, কিন্তু কাজটা করে ধোপার গাধা হয়ে যায়।']",bagdhara
6131,ধোপার পাট ঘরেরও না ঘাটেরও না,ধোপার (ধোয়ার) পাট (কাপড়) যা ঘরেরও নয় ঘাটেরও নয়,যে মানুষ সর্বত্র অনাদৃত,A person who is unwelcome or unaccepted everywhere,"['neither here nor there', 'a square peg in a round hole']",neither here nor there; a square peg in a round hole,"['সে ধোপার পাট ঘরেরও না ঘাটেরও না, কোথাও তার জায়গা হয় না।', 'এই প্রকল্পটি ধোপার পাটের মতো, কোনো দিক থেকেই গ্রহণযোগ্য নয়।']",bagdhara
6132,ধোপার বোঝা,ধোপার (ধোয়া করা ব্যক্তির) বোঝা (ভার),অপরের দায়িত্ব,Someone else's responsibility,"['Not my problem', 'Passing the buck']",Not my problem; Passing the buck,"['এটা তো ধোপার বোঝা, তুমি কেন মাথা ঘামাচ্ছ?', 'আমার কাজ নয় এটা, ধোপার বোঝা বইতে হবে না।']",bagdhara
6133,ধোপে টেকা,ধোপার বেড়ে বা পাথরে আঘাত সহ্য করে টিকে থাকা,বজায় থাকা; যুক্তিগ্রাহ্য হওয়া; শেষপর্যন্ত নানা ঘাতপ্রতিঘাত সহ্য করে টিকে যাওয়া,to remain intact; to be reasonable or valid; to ultimately endure various adversities and survive,"['hold water', 'weather the storm', 'stand the test of time']",hold water; weather the storm; stand the test of time,"['তোমার যুক্তি ধোপে টেকে না, এটা অযৌক্তিক।', 'এই সম্পর্কটি অনেক ঝড়ঝাপটা সত্ত্বেও ধোপে টেকে আছে।']",bagdhara
6134,ধোপে টিকবে না,ধোয়ার পরিপটে স্থায়ী হবে না (ধোপার পরীক্ষায় উত্তীর্ণ হবে না),পরীক্ষায় উত্তীর্ণ হবে না; পরীক্ষায় ভিতরের গলদ প্রকাশ হয়ে পড়বে,Will not pass the test; the inner flaw will be revealed upon examination,"[""It won't wash"", ""Won't hold water"", 'The emperor has no clothes']",It won't wash; Won't hold water; The emperor has no clothes,"['এই যুক্তি ধোপে টিকবে না, সবাই বুঝে যাবে।', 'তার গল্প ধোপে টিকবে না যখন তদন্ত হবে।']",bagdhara
6135,ধোয়া তুলসীপাতা,ধোয়া তুলসী পাতা (washed Tulsi leaf),নিস্পাপ; কিছু জানে না; নিস্কলঙ্ক বলে নিজেকে জাহির করা লোকের প্রতি তির্যকোক্তি,Innocent; ignorant; a sarcastic remark towards someone who claims to be spotless or blameless,"['pure as the driven snow (sarcastically)', 'holier than thou']",pure as the driven snow (sarcastically); holier than thou,"['সে ধোয়া তুলসীপাতার মতো নিজেকে নির্দোষ বলে দাবি করে, কিন্তু সবাই জানে তার অতীত।', 'এই রাজনীতিবিদ ধোয়া তুলসীপাতা হয়ে গেলেন, কোনো দোষ স্বীকার করছেন না।']",bagdhara
6136,ধোলাই দেওয়া,ধুলো পরিষ্কার করার মতো প্রহার করা,প্রচণ্ড প্রহার করা,to beat severely or thrash soundly,"['beat the living daylights out of someone', 'give someone a hiding', 'thrash thoroughly']",beat the living daylights out of someone; give someone a hiding; thrash thoroughly,"['চোরটাকে আচ্ছা করে ধোলাই দিয়ে ছেড়ে দেওয়া হয়েছে।', 'বাবা ছেলেকে ধোলাই দিয়েছে কারণ সে স্কুলে যায়নি।']",bagdhara
6137,ধ্যাড়া,বেসামাল হয়ে মলত্যাগ করে কাপড়চোপড় নষ্ট করা,অপটুতার দরুন কাজ পণ্ড করা,Ruining a task due to incompetence or clumsiness,"['Make a mess of something', 'Botch up a job']",Make a mess of something; Botch up a job,"['অকম্মাটা সব কাজেই ধ্যাড়াচ্ছে।', 'এই নতুন কর্মচারী প্রকল্পটাকে ধ্যাড়া করে দিয়েছে।']",bagdhara
6138,ধ্বজভঙ্গ,ধ্বজ ভাঙা (flag breaking or destruction of flag),পুরুষত্বহীনাতারূপ ব্যাধি- গালিবিশেষ,A special insult referring to impotence or loss of manhood,"['lacking balls', 'not man enough']",lacking balls; not man enough,"['সে একটা ধ্বজভঙ্গ, কোনো কাজেই সাহস করে না।', 'ব্যাটা ধ্বজভঙ্গ, এমন লোকের সঙ্গে বন্ধুত্ব করিস না।']",bagdhara
